#   Al  CRISIS(1977/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.472140e-01 4.000000e-01 5.000000e-01 2.220000e-01 1.700000e-02 1.700000e-02 0.000000e+00 0.000000e+00 1.700000e-02 1.700000e-02
5.477230e-01 5.000000e-01 6.000000e-01 1.879999e-01 1.700000e-02 1.700000e-02 0.000000e+00 0.000000e+00 1.700000e-02 1.700000e-02
6.480740e-01 6.000000e-01 7.000000e-01 1.930001e-01 2.000001e-02 2.000001e-02 0.000000e+00 0.000000e+00 2.000001e-02 2.000001e-02
7.483310e-01 7.000000e-01 8.000000e-01 1.930000e-01 2.099999e-02 2.099999e-02 0.000000e+00 0.000000e+00 2.099999e-02 2.099999e-02
8.485280e-01 8.000000e-01 9.000000e-01 1.280000e-01 1.700001e-02 1.700001e-02 0.000000e+00 0.000000e+00 1.700001e-02 1.700001e-02
9.486830e-01 9.000000e-01 1.000000e+00 1.140000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
1.095450e+00 1.000000e+00 1.200000e+00 1.030000e-01 1.050000e-02 1.050000e-02 0.000000e+00 0.000000e+00 1.050000e-02 1.050000e-02
1.341640e+00 1.200000e+00 1.500000e+00 6.700001e-02 7.000001e-03 7.000001e-03 0.000000e+00 0.000000e+00 7.000001e-03 7.000001e-03
1.732050e+00 1.500000e+00 2.000000e+00 3.200000e-02 3.800000e-03 3.800000e-03 0.000000e+00 0.000000e+00 3.800000e-03 3.800000e-03
2.449490e+00 2.000000e+00 3.000000e+00 1.430000e-02 1.800000e-03 1.800000e-03 0.000000e+00 0.000000e+00 1.800000e-03 1.800000e-03
5.477230e+00 3.000000e+00 1.000000e+01 3.442857e-03 3.285714e-04 3.285714e-04 0.000000e+00 0.000000e+00 3.285714e-04 3.285714e-04
