#   Al  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.000000e-01 8.000000e-01 8.000000e-01 7.871850e-02 3.330290e-03 3.330290e-03 0.000000e+00 0.000000e+00 3.330290e-03 3.330290e-03
1.000000e+00 1.000000e+00 1.000000e+00 5.795500e-02 2.412250e-03 2.412250e-03 0.000000e+00 0.000000e+00 2.412250e-03 2.412250e-03
1.250000e+00 1.250000e+00 1.250000e+00 5.474560e-02 1.888160e-03 1.888160e-03 0.000000e+00 0.000000e+00 1.888160e-03 1.888160e-03
1.600000e+00 1.600000e+00 1.600000e+00 3.720310e-02 1.067020e-03 1.067020e-03 0.000000e+00 0.000000e+00 1.067020e-03 1.067020e-03
2.100000e+00 2.100000e+00 2.100000e+00 2.643030e-02 7.557090e-04 7.557090e-04 0.000000e+00 0.000000e+00 7.557090e-04 7.557090e-04
2.650000e+00 2.650000e+00 2.650000e+00 1.775680e-02 4.512090e-04 4.512090e-04 0.000000e+00 0.000000e+00 4.512090e-04 4.512090e-04
3.350000e+00 3.350000e+00 3.350000e+00 1.132300e-02 2.706830e-04 2.706830e-04 0.000000e+00 0.000000e+00 2.706830e-04 2.706830e-04
4.300000e+00 4.300000e+00 4.300000e+00 7.436000e-03 1.843850e-04 1.843850e-04 0.000000e+00 0.000000e+00 1.843850e-04 1.843850e-04
5.600000e+00 5.600000e+00 5.600000e+00 4.382400e-03 1.137840e-04 1.137840e-04 0.000000e+00 0.000000e+00 1.137840e-04 1.137840e-04
7.500000e+00 7.500000e+00 7.500000e+00 2.277600e-03 8.065340e-05 8.065340e-05 0.000000e+00 0.000000e+00 8.065340e-05 8.065340e-05
1.060000e+01 1.060000e+01 1.060000e+01 1.029770e-03 2.971650e-05 2.971650e-05 0.000000e+00 0.000000e+00 2.971650e-05 2.971650e-05
1.620000e+01 1.620000e+01 1.620000e+01 3.264800e-04 1.558180e-05 1.558180e-05 0.000000e+00 0.000000e+00 1.558180e-05 1.558180e-05
3.500000e+01 3.500000e+01 3.500000e+01 3.900000e-05 6.139220e-06 6.139220e-06 0.000000e+00 0.000000e+00 6.139220e-06 6.139220e-06
