#   Be  Balloon(1977/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.100000e-01 2.000000e-01 2.200000e-01 3.850000e-01 2.100000e-02 2.100000e-02 0.000000e+00 0.000000e+00 2.100000e-02 2.100000e-02
2.400000e-01 2.200000e-01 2.500000e-01 3.850000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
2.700000e-01 2.500000e-01 2.800000e-01 4.140000e-01 1.800000e-02 1.800000e-02 0.000000e+00 0.000000e+00 1.800000e-02 1.800000e-02
2.900000e-01 2.800000e-01 3.000000e-01 4.260000e-01 1.800000e-02 1.800000e-02 0.000000e+00 0.000000e+00 1.800000e-02 1.800000e-02
3.200000e-01 3.000000e-01 3.300000e-01 4.100000e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
3.500000e-01 3.300000e-01 3.800000e-01 4.300000e-01 2.200000e-02 2.200000e-02 0.000000e+00 0.000000e+00 2.200000e-02 2.200000e-02
4.000000e-01 3.800000e-01 4.100000e-01 4.130000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
4.300000e-01 4.100000e-01 4.400000e-01 4.010000e-01 1.800000e-02 1.800000e-02 0.000000e+00 0.000000e+00 1.800000e-02 1.800000e-02
4.600000e-01 4.400000e-01 4.800000e-01 4.110000e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
4.900000e-01 4.800000e-01 5.100000e-01 4.010000e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
5.200000e-01 5.100000e-01 5.500000e-01 3.880000e-01 1.800000e-02 1.800000e-02 0.000000e+00 0.000000e+00 1.800000e-02 1.800000e-02
5.700000e-01 5.500000e-01 5.900000e-01 3.600000e-01 1.300000e-02 1.300000e-02 0.000000e+00 0.000000e+00 1.300000e-02 1.300000e-02
6.200000e-01 5.900000e-01 6.400000e-01 3.460000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
6.700000e-01 6.400000e-01 7.100000e-01 3.140000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
7.400000e-01 7.100000e-01 7.900000e-01 2.740000e-01 1.200000e-02 1.200000e-02 0.000000e+00 0.000000e+00 1.200000e-02 1.200000e-02
8.400000e-01 7.900000e-01 8.900000e-01 2.350000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
9.400000e-01 8.900000e-01 1.010000e+00 2.140000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
1.090000e+00 1.010000e+00 1.180000e+00 1.730000e-01 9.000000e-03 9.000000e-03 0.000000e+00 0.000000e+00 9.000000e-03 9.000000e-03
1.270000e+00 1.180000e+00 1.370000e+00 1.310000e-01 7.000000e-03 7.000000e-03 0.000000e+00 0.000000e+00 7.000000e-03 7.000000e-03
1.480000e+00 1.370000e+00 1.560000e+00 1.070000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
1.720000e+00 1.560000e+00 1.990000e+00 7.200000e-02 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
2.210000e+00 1.990000e+00 2.450000e+00 4.600000e-02 3.000000e-03 3.000000e-03 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03
2.710000e+00 2.450000e+00 2.960000e+00 3.400000e-02 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
