#   Be  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 6.200000e-01 6.200000e-01 2.312310e-01 1.085650e-02 1.085650e-02 0.000000e+00 0.000000e+00 1.085650e-02 1.085650e-02
8.000000e-01 8.000000e-01 8.000000e-01 2.326270e-01 8.357010e-03 8.357010e-03 0.000000e+00 0.000000e+00 8.357010e-03 8.357010e-03
1.000000e+00 1.000000e+00 1.000000e+00 1.815700e-01 6.269380e-03 6.269380e-03 0.000000e+00 0.000000e+00 6.269380e-03 6.269380e-03
1.250000e+00 1.250000e+00 1.250000e+00 1.896540e-01 5.381620e-03 5.381620e-03 0.000000e+00 0.000000e+00 5.381620e-03 5.381620e-03
1.600000e+00 1.600000e+00 1.600000e+00 1.293930e-01 3.131530e-03 3.131530e-03 0.000000e+00 0.000000e+00 3.131530e-03 3.131530e-03
2.100000e+00 2.100000e+00 2.100000e+00 9.058590e-02 2.224030e-03 2.224030e-03 0.000000e+00 0.000000e+00 2.224030e-03 2.224030e-03
2.650000e+00 2.650000e+00 2.650000e+00 5.961920e-02 1.266910e-03 1.266910e-03 0.000000e+00 0.000000e+00 1.266910e-03 1.266910e-03
3.350000e+00 3.350000e+00 3.350000e+00 4.060200e-02 8.543670e-04 8.543670e-04 0.000000e+00 0.000000e+00 8.543670e-04 8.543670e-04
4.300000e+00 4.300000e+00 4.300000e+00 2.450800e-02 5.525300e-04 5.525300e-04 0.000000e+00 0.000000e+00 5.525300e-04 5.525300e-04
5.600000e+00 5.600000e+00 5.600000e+00 1.415040e-02 3.400930e-04 3.400930e-04 0.000000e+00 0.000000e+00 3.400930e-04 3.400930e-04
7.500000e+00 7.500000e+00 7.500000e+00 7.584700e-03 2.458590e-04 2.458590e-04 0.000000e+00 0.000000e+00 2.458590e-04 2.458590e-04
1.060000e+01 1.060000e+01 1.060000e+01 2.872170e-03 7.906120e-05 7.906120e-05 0.000000e+00 0.000000e+00 7.906120e-05 7.906120e-05
1.620000e+01 1.620000e+01 1.620000e+01 7.759200e-04 3.678080e-05 3.678080e-05 0.000000e+00 0.000000e+00 3.678080e-05 3.678080e-05
