#   B  Balloon(1977/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.200000e-01 2.100000e-01 2.400000e-01 1.540000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
2.600000e-01 2.400000e-01 2.700000e-01 1.510000e+00 7.000000e-02 7.000000e-02 0.000000e+00 0.000000e+00 7.000000e-02 7.000000e-02
2.900000e-01 2.700000e-01 3.000000e-01 1.540000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
3.200000e-01 3.000000e-01 3.400000e-01 1.560000e+00 5.000000e-02 5.000000e-02 0.000000e+00 0.000000e+00 5.000000e-02 5.000000e-02
3.600000e-01 3.400000e-01 3.800000e-01 1.580000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
4.000000e-01 3.800000e-01 4.200000e-01 1.550000e+00 5.000000e-02 5.000000e-02 0.000000e+00 0.000000e+00 5.000000e-02 5.000000e-02
4.500000e-01 4.200000e-01 4.700000e-01 1.520000e+00 5.000000e-02 5.000000e-02 0.000000e+00 0.000000e+00 5.000000e-02 5.000000e-02
4.900000e-01 4.700000e-01 5.100000e-01 1.530000e+00 7.000000e-02 7.000000e-02 0.000000e+00 0.000000e+00 7.000000e-02 7.000000e-02
5.400000e-01 5.100000e-01 5.600000e-01 1.380000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
5.800000e-01 5.600000e-01 6.100000e-01 1.280000e+00 7.000000e-02 7.000000e-02 0.000000e+00 0.000000e+00 7.000000e-02 7.000000e-02
6.149797e-01 5.899153e-01 6.299206e-01 1.220900e+00 5.088882e-02 5.088882e-02 0.000000e+00 0.000000e+00 5.088882e-02 5.088882e-02
6.500000e-01 6.100000e-01 6.900000e-01 1.120000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
7.400000e-01 6.900000e-01 8.000000e-01 1.010000e+00 3.000000e-02 3.000000e-02 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02
8.500000e-01 8.000000e-01 8.900000e-01 8.600000e-01 3.000000e-02 3.000000e-02 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02
9.400000e-01 8.900000e-01 1.020000e+00 7.800000e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
1.080000e+00 1.020000e+00 1.200000e+00 6.600000e-01 3.000000e-02 3.000000e-02 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02
1.270000e+00 1.200000e+00 1.390000e+00 4.900000e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
1.470000e+00 1.390000e+00 1.610000e+00 4.100000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
1.770000e+00 1.610000e+00 1.930000e+00 2.700000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
2.210000e+00 1.930000e+00 2.500000e+00 1.500000e-01 8.000000e-03 8.000000e-03 0.000000e+00 0.000000e+00 8.000000e-03 8.000000e-03
2.740000e+00 2.600000e+00 2.900000e+00 1.000000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
