#   B  Balloon(66/07+67/05-06-07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.100000e-01 1.000000e-01 1.200000e-01 1.998000e+00 6.200000e-01 6.200000e-01 0.000000e+00 0.000000e+00 6.200000e-01 6.200000e-01
1.500000e-01 1.200000e-01 1.900000e-01 1.722000e+00 2.940000e-01 2.940000e-01 0.000000e+00 0.000000e+00 2.940000e-01 2.940000e-01
2.600000e-01 1.900000e-01 3.300000e-01 1.962000e+00 2.830000e-01 2.830000e-01 0.000000e+00 0.000000e+00 2.830000e-01 2.830000e-01
3.800000e-01 3.300000e-01 4.500000e-01 2.232000e+00 2.960000e-01 2.960000e-01 0.000000e+00 0.000000e+00 2.960000e-01 2.960000e-01
5.300000e-01 4.500000e-01 6.100000e-01 1.938000e+00 2.140000e-01 2.140000e-01 0.000000e+00 0.000000e+00 2.140000e-01 2.140000e-01
7.900000e-01 6.100000e-01 1.000000e+00 1.011000e+00 1.370000e-01 1.370000e-01 0.000000e+00 0.000000e+00 1.370000e-01 1.370000e-01
1.180000e+00 1.000000e+00 1.530000e+00 5.900000e-01 8.500000e-02 8.500000e-02 0.000000e+00 0.000000e+00 8.500000e-02 8.500000e-02
2.180000e+00 1.530000e+00 4.140000e+00 1.580000e-01 2.500000e-02 2.500000e-02 0.000000e+00 0.000000e+00 2.500000e-02 2.500000e-02
7.300000e+00 4.140000e+00 1.420000e+01 1.200000e-02 2.200000e-03 2.200000e-03 0.000000e+00 0.000000e+00 2.200000e-03 2.200000e-03
1.820000e+01 1.420000e+01 2.280000e+01 1.600000e-03 6.000000e-04 6.000000e-04 0.000000e+00 0.000000e+00 6.000000e-04 6.000000e-04
