#   B  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 6.200000e-01 6.200000e-01 9.551080e-01 2.466990e-02 2.466990e-02 0.000000e+00 0.000000e+00 2.466990e-02 2.466990e-02
8.000000e-01 8.000000e-01 8.000000e-01 7.988720e-01 1.816710e-02 1.816710e-02 0.000000e+00 0.000000e+00 1.816710e-02 1.816710e-02
1.000000e+00 1.000000e+00 1.000000e+00 6.120450e-01 1.453690e-02 1.453690e-02 0.000000e+00 0.000000e+00 1.453690e-02 1.453690e-02
1.250000e+00 1.250000e+00 1.250000e+00 5.488100e-01 1.154070e-02 1.154070e-02 0.000000e+00 0.000000e+00 1.154070e-02 1.154070e-02
1.600000e+00 1.600000e+00 1.600000e+00 3.887230e-01 7.520490e-03 7.520490e-03 0.000000e+00 0.000000e+00 7.520490e-03 7.520490e-03
2.100000e+00 2.100000e+00 2.100000e+00 2.417130e-01 4.856820e-03 4.856820e-03 0.000000e+00 0.000000e+00 4.856820e-03 4.856820e-03
2.650000e+00 2.650000e+00 2.650000e+00 1.525200e-01 2.433770e-03 2.433770e-03 0.000000e+00 0.000000e+00 2.433770e-03 2.433770e-03
3.350000e+00 3.350000e+00 3.350000e+00 9.875800e-02 1.549370e-03 1.549370e-03 0.000000e+00 0.000000e+00 1.549370e-03 1.549370e-03
4.300000e+00 4.300000e+00 4.300000e+00 5.810200e-02 1.003590e-03 1.003590e-03 0.000000e+00 0.000000e+00 1.003590e-03 1.003590e-03
5.600000e+00 5.600000e+00 5.600000e+00 3.322440e-02 6.245120e-04 6.245120e-04 0.000000e+00 0.000000e+00 6.245120e-04 6.245120e-04
7.500000e+00 7.500000e+00 7.500000e+00 1.645420e-02 4.891260e-04 4.891260e-04 0.000000e+00 0.000000e+00 4.891260e-04 4.891260e-04
1.060000e+01 1.060000e+01 1.060000e+01 6.333250e-03 1.417930e-04 1.417930e-04 0.000000e+00 0.000000e+00 1.417930e-04 1.417930e-04
1.620000e+01 1.620000e+01 1.620000e+01 1.717200e-03 7.218230e-05 7.218230e-05 0.000000e+00 0.000000e+00 7.218230e-05 7.218230e-05
3.500000e+01 3.500000e+01 3.500000e+01 1.508000e-04 2.337560e-05 2.337560e-05 0.000000e+00 0.000000e+00 2.337560e-05 2.337560e-05
