#   B  PAMELA(2006/07-2008/03)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.900000e-01 4.400000e-01 5.800000e-01 1.730000e+00 4.000000e-02 4.000000e-02 8.000000e-02 9.000000e-02 8.944272e-02 9.848858e-02
6.500000e-01 5.800000e-01 7.600000e-01 1.380000e+00 3.000000e-02 3.000000e-02 6.000000e-02 7.000000e-02 6.708204e-02 7.615773e-02
8.500000e-01 7.600000e-01 1.000000e+00 1.102000e+00 2.000000e-02 2.000000e-02 5.000000e-02 5.900000e-02 5.385165e-02 6.229767e-02
1.130000e+00 1.000000e+00 1.300000e+00 7.850000e-01 1.400000e-02 1.400000e-02 3.600000e-02 4.200000e-02 3.862642e-02 4.427189e-02
1.500000e+00 1.300000e+00 1.710000e+00 5.180000e-01 1.000000e-02 1.000000e-02 2.400000e-02 2.900000e-02 2.600000e-02 3.067572e-02
1.940000e+00 1.710000e+00 2.240000e+00 3.060000e-01 6.000000e-03 6.000000e-03 1.500000e-02 1.700000e-02 1.615549e-02 1.802776e-02
2.530000e+00 2.240000e+00 2.930000e+00 1.880000e-01 4.000000e-03 4.000000e-03 9.000000e-03 1.100000e-02 9.848858e-03 1.170470e-02
3.340000e+00 2.930000e+00 3.840000e+00 1.030000e-01 3.000000e-03 3.000000e-03 7.000000e-03 7.000000e-03 7.615773e-03 7.615773e-03
4.360000e+00 3.840000e+00 5.030000e+00 5.800000e-02 2.000000e-03 2.000000e-03 4.000000e-03 4.000000e-03 4.472136e-03 4.472136e-03
5.730000e+00 5.030000e+00 6.600000e+00 3.050000e-02 1.200000e-03 1.200000e-03 2.200000e-03 2.300000e-03 2.505993e-03 2.594224e-03
7.490000e+00 6.600000e+00 8.650000e+00 1.560000e-02 7.000000e-04 7.000000e-04 1.200000e-03 1.200000e-03 1.389244e-03 1.389244e-03
9.810000e+00 8.650000e+00 1.130000e+01 7.800000e-03 4.000000e-04 4.000000e-04 6.000000e-04 6.000000e-04 7.211103e-04 7.211103e-04
1.290000e+01 1.130000e+01 1.490000e+01 3.600000e-03 2.000000e-04 2.000000e-04 3.000000e-04 3.000000e-04 3.605551e-04 3.605551e-04
1.690000e+01 1.490000e+01 1.950000e+01 1.560000e-03 1.200000e-04 1.200000e-04 1.200000e-04 1.300000e-04 1.697056e-04 1.769181e-04
2.210000e+01 1.950000e+01 2.550000e+01 6.700000e-04 7.000000e-05 7.000000e-05 6.000000e-05 6.000000e-05 9.219544e-05 9.219544e-05
3.260000e+01 2.550000e+01 4.380000e+01 2.100000e-04 2.000000e-05 2.000000e-05 1.000000e-05 1.000000e-05 2.236068e-05 2.236068e-05
5.570000e+01 4.380000e+01 7.530000e+01 4.200000e-05 6.000000e-06 6.000000e-06 3.000000e-06 3.000000e-06 6.708204e-06 6.708204e-06
9.560000e+01 7.530000e+01 1.290000e+02 8.400000e-06 1.500000e-06 1.500000e-06 5.000000e-07 5.000000e-07 1.581139e-06 1.581139e-06
