#   C  ACE-CRIS(1998/01-1999/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.596206e-02 6.399219e-02 6.799265e-02 4.060086e+00 6.709966e-01 6.709966e-01 0.000000e+00 0.000000e+00 6.709966e-01 6.709966e-01
7.921007e-02 7.794229e-02 8.049845e-02 4.819277e+00 5.289240e-01 5.289240e-01 0.000000e+00 0.000000e+00 5.289240e-01 5.289240e-01
9.000000e-02 9.000000e-02 9.000000e-02 5.210000e+00 4.100000e-01 4.100000e-01 0.000000e+00 0.000000e+00 4.100000e-01 4.100000e-01
1.054273e-01 1.024695e-01 1.084712e-01 5.583406e+00 8.722274e-01 8.722274e-01 0.000000e+00 0.000000e+00 8.722274e-01 8.722274e-01
1.160000e-01 1.160000e-01 1.160000e-01 5.970000e+00 5.700000e-01 5.700000e-01 0.000000e+00 0.000000e+00 5.700000e-01 5.700000e-01
1.380000e-01 1.380000e-01 1.380000e-01 6.440000e+00 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-01
1.580000e-01 1.580000e-01 1.580000e-01 6.620000e+00 5.900000e-01 5.900000e-01 0.000000e+00 0.000000e+00 5.900000e-01 5.900000e-01
1.674063e-01 1.624808e-01 1.724819e-01 6.694631e+00 9.083214e-01 9.083214e-01 0.000000e+00 0.000000e+00 9.083214e-01 9.083214e-01
1.770000e-01 1.770000e-01 1.770000e-01 6.810000e+00 5.700000e-01 5.700000e-01 0.000000e+00 0.000000e+00 5.700000e-01 5.700000e-01
1.960000e-01 1.960000e-01 1.960000e-01 6.700000e+00 5.600000e-01 5.600000e-01 0.000000e+00 0.000000e+00 5.600000e-01 5.600000e-01
