#   C  Balloon(1977/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.700000e-01 2.500000e-01 2.900000e-01 5.370000e+00 2.920000e-01 2.920000e-01 0.000000e+00 0.000000e+00 2.920000e-01 2.920000e-01
3.000000e-01 2.900000e-01 3.200000e-01 5.300000e+00 2.330000e-01 2.330000e-01 0.000000e+00 0.000000e+00 2.330000e-01 2.330000e-01
3.300000e-01 3.200000e-01 3.500000e-01 5.430000e+00 2.670000e-01 2.670000e-01 0.000000e+00 0.000000e+00 2.670000e-01 2.670000e-01
3.700000e-01 3.500000e-01 3.800000e-01 5.620000e+00 2.760000e-01 2.760000e-01 0.000000e+00 0.000000e+00 2.760000e-01 2.760000e-01
3.900000e-01 3.800000e-01 4.200000e-01 5.430000e+00 2.810000e-01 2.810000e-01 0.000000e+00 0.000000e+00 2.810000e-01 2.810000e-01
4.300000e-01 4.200000e-01 4.500000e-01 5.470000e+00 2.260000e-01 2.260000e-01 0.000000e+00 0.000000e+00 2.260000e-01 2.260000e-01
4.600000e-01 4.500000e-01 4.800000e-01 5.290000e+00 2.890000e-01 2.890000e-01 0.000000e+00 0.000000e+00 2.890000e-01 2.890000e-01
5.000000e-01 4.800000e-01 5.200000e-01 5.110000e+00 2.260000e-01 2.260000e-01 0.000000e+00 0.000000e+00 2.260000e-01 2.260000e-01
5.300000e-01 5.200000e-01 5.600000e-01 4.710000e+00 2.080000e-01 2.080000e-01 0.000000e+00 0.000000e+00 2.080000e-01 2.080000e-01
5.800000e-01 5.600000e-01 6.000000e-01 4.370000e+00 1.800000e-01 1.800000e-01 0.000000e+00 0.000000e+00 1.800000e-01 1.800000e-01
6.200000e-01 6.000000e-01 6.400000e-01 4.210000e+00 1.640000e-01 1.640000e-01 0.000000e+00 0.000000e+00 1.640000e-01 1.640000e-01
6.700000e-01 6.400000e-01 7.100000e-01 3.830000e+00 1.480000e-01 1.480000e-01 0.000000e+00 0.000000e+00 1.480000e-01 1.480000e-01
7.500000e-01 7.100000e-01 8.100000e-01 3.430000e+00 1.600000e-01 1.600000e-01 0.000000e+00 0.000000e+00 1.600000e-01 1.600000e-01
8.500000e-01 8.100000e-01 9.100000e-01 2.940000e+00 1.370000e-01 1.370000e-01 0.000000e+00 0.000000e+00 1.370000e-01 1.370000e-01
9.600000e-01 9.100000e-01 1.030000e+00 2.620000e+00 1.080000e-01 1.080000e-01 0.000000e+00 0.000000e+00 1.080000e-01 1.080000e-01
1.100000e+00 1.030000e+00 1.210000e+00 2.200000e+00 1.080000e-01 1.080000e-01 0.000000e+00 0.000000e+00 1.080000e-01 1.080000e-01
1.290000e+00 1.210000e+00 1.410000e+00 1.720000e+00 7.100000e-02 7.100000e-02 0.000000e+00 0.000000e+00 7.100000e-02 7.100000e-02
1.490000e+00 1.410000e+00 1.590000e+00 1.400000e+00 5.400000e-02 5.400000e-02 0.000000e+00 0.000000e+00 5.400000e-02 5.400000e-02
1.790000e+00 1.590000e+00 2.030000e+00 1.000000e+00 4.100000e-02 4.100000e-02 0.000000e+00 0.000000e+00 4.100000e-02 4.100000e-02
2.230000e+00 2.030000e+00 2.530000e+00 6.000000e-01 2.400000e-02 2.400000e-02 0.000000e+00 0.000000e+00 2.400000e-02 2.400000e-02
2.740000e+00 2.530000e+00 2.960000e+00 4.000000e-01 2.100000e-02 2.100000e-02 0.000000e+00 0.000000e+00 2.100000e-02 2.100000e-02
