#   C  Balloon(66/07+67/05-06-07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.300000e-01 1.100000e-01 1.400000e-01 5.982000e+00 1.455000e+00 1.455000e+00 0.000000e+00 0.000000e+00 1.455000e+00 1.455000e+00
1.700000e-01 1.400000e-01 2.100000e-01 6.172000e+00 8.400000e-01 8.400000e-01 0.000000e+00 0.000000e+00 8.400000e-01 8.400000e-01
2.700000e-01 2.100000e-01 3.400000e-01 6.568000e+00 8.440000e-01 8.440000e-01 0.000000e+00 0.000000e+00 8.440000e-01 8.440000e-01
3.900000e-01 3.400000e-01 4.500000e-01 7.936000e+00 9.460000e-01 9.460000e-01 0.000000e+00 0.000000e+00 9.460000e-01 9.460000e-01
5.400000e-01 4.500000e-01 6.100000e-01 7.372000e+00 8.790000e-01 8.790000e-01 0.000000e+00 0.000000e+00 8.790000e-01 8.790000e-01
8.000000e-01 6.100000e-01 9.800000e-01 4.401000e+00 5.320000e-01 5.320000e-01 0.000000e+00 0.000000e+00 5.320000e-01 5.320000e-01
1.340000e+00 9.800000e-01 1.770000e+00 1.453000e+00 2.100000e-01 2.100000e-01 0.000000e+00 0.000000e+00 2.100000e-01 2.100000e-01
2.770000e+00 1.770000e+00 5.200000e+00 4.720000e-01 5.600000e-02 5.600000e-02 0.000000e+00 0.000000e+00 5.600000e-02 5.600000e-02
8.630000e+00 5.200000e+00 1.480000e+01 4.600000e-02 7.500000e-03 7.500000e-03 0.000000e+00 0.000000e+00 7.500000e-03 7.500000e-03
1.820000e+01 1.480000e+01 2.200000e+01 6.700000e-03 1.900000e-03 1.900000e-03 0.000000e+00 0.000000e+00 1.900000e-03 1.900000e-03
