#   C  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 6.200000e-01 6.200000e-01 2.975280e+00 5.763200e-02 5.763200e-02 0.000000e+00 0.000000e+00 5.763200e-02 5.763200e-02
8.000000e-01 8.000000e-01 8.000000e-01 2.444680e+00 4.485120e-02 4.485120e-02 0.000000e+00 0.000000e+00 4.485120e-02 4.485120e-02
1.000000e+00 1.000000e+00 1.000000e+00 1.825080e+00 3.642900e-02 3.642900e-02 0.000000e+00 0.000000e+00 3.642900e-02 3.642900e-02
1.250000e+00 1.250000e+00 1.250000e+00 1.642520e+00 2.983610e-02 2.983610e-02 0.000000e+00 0.000000e+00 2.983610e-02 2.983610e-02
1.600000e+00 1.600000e+00 1.600000e+00 1.216900e+00 2.118600e-02 2.118600e-02 0.000000e+00 0.000000e+00 2.118600e-02 2.118600e-02
2.100000e+00 2.100000e+00 2.100000e+00 8.081950e-01 1.462050e-02 1.462050e-02 0.000000e+00 0.000000e+00 1.462050e-02 1.462050e-02
2.650000e+00 2.650000e+00 2.650000e+00 5.338940e-01 7.090470e-03 7.090470e-03 0.000000e+00 0.000000e+00 7.090470e-03 7.090470e-03
3.350000e+00 3.350000e+00 3.350000e+00 3.633740e-01 4.740400e-03 4.740400e-03 0.000000e+00 0.000000e+00 4.740400e-03 4.740400e-03
4.300000e+00 4.300000e+00 4.300000e+00 2.287560e-01 3.337960e-03 3.337960e-03 0.000000e+00 0.000000e+00 3.337960e-03 3.337960e-03
5.600000e+00 5.600000e+00 5.600000e+00 1.384680e-01 2.220060e-03 2.220060e-03 0.000000e+00 0.000000e+00 2.220060e-03 2.220060e-03
7.500000e+00 7.500000e+00 7.500000e+00 7.573020e-02 2.111920e-03 2.111920e-03 0.000000e+00 0.000000e+00 2.111920e-03 2.111920e-03
1.060000e+01 1.060000e+01 1.060000e+01 3.244930e-02 6.197970e-04 6.197970e-04 0.000000e+00 0.000000e+00 6.197970e-04 6.197970e-04
1.620000e+01 1.620000e+01 1.620000e+01 1.015270e-02 3.904420e-04 3.904420e-04 0.000000e+00 0.000000e+00 3.904420e-04 3.904420e-04
3.500000e+01 3.500000e+01 3.500000e+01 1.246050e-03 1.919410e-04 1.919410e-04 0.000000e+00 0.000000e+00 1.919410e-04 1.919410e-04
