#   C  OGO5(1968/03-1968/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.100000e-02 2.100000e-02 2.100000e-02 1.360000e+00 5.900000e-01 5.900000e-01 0.000000e+00 0.000000e+00 5.900000e-01 5.900000e-01
6.500000e-02 6.500000e-02 6.500000e-02 1.180000e+00 1.600000e-01 1.600000e-01 0.000000e+00 0.000000e+00 1.600000e-01 1.600000e-01
8.800000e-02 8.800000e-02 8.800000e-02 1.530000e+00 3.300000e-01 3.300000e-01 0.000000e+00 0.000000e+00 3.300000e-01 3.300000e-01
1.160000e-01 1.160000e-01 1.160000e-01 2.560000e+00 5.100000e-01 5.100000e-01 0.000000e+00 0.000000e+00 5.100000e-01 5.100000e-01
1.470000e-01 1.470000e-01 1.470000e-01 3.320000e+00 5.200000e-01 5.200000e-01 0.000000e+00 0.000000e+00 5.200000e-01 5.200000e-01
2.150000e-01 2.150000e-01 2.150000e-01 5.820000e+00 8.100000e-01 8.100000e-01 0.000000e+00 0.000000e+00 8.100000e-01 8.100000e-01
3.360000e-01 3.360000e-01 3.360000e-01 5.030000e+00 7.400000e-01 7.400000e-01 0.000000e+00 0.000000e+00 7.400000e-01 7.400000e-01
3.970000e-01 3.970000e-01 3.970000e-01 4.590000e+00 5.600000e-01 5.600000e-01 0.000000e+00 0.000000e+00 5.600000e-01 5.600000e-01
4.870000e-01 4.870000e-01 4.870000e-01 4.030000e+00 3.200000e-01 3.200000e-01 0.000000e+00 0.000000e+00 3.200000e-01 3.200000e-01
6.070000e-01 6.070000e-01 6.070000e-01 5.070000e+00 5.700000e-01 5.700000e-01 0.000000e+00 0.000000e+00 5.700000e-01 5.700000e-01
8.100000e-01 8.100000e-01 8.100000e-01 5.600000e+00 5.800000e-01 5.800000e-01 0.000000e+00 0.000000e+00 5.800000e-01 5.800000e-01
1.131000e+00 1.131000e+00 1.131000e+00 2.830000e+00 2.000000e-01 2.000000e-01 0.000000e+00 0.000000e+00 2.000000e-01 2.000000e-01
