#   C  PAMELA(2006/07-2008/03)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.900000e-01 4.400000e-01 5.800000e-01 5.260000e+00 8.000000e-02 8.000000e-02 2.600000e-01 2.600000e-01 2.720294e-01 2.720294e-01
6.500000e-01 5.800000e-01 7.600000e-01 4.270000e+00 5.000000e-02 5.000000e-02 2.100000e-01 2.100000e-01 2.158703e-01 2.158703e-01
8.500000e-01 7.600000e-01 1.000000e+00 3.300000e+00 4.000000e-02 4.000000e-02 1.600000e-01 1.600000e-01 1.649242e-01 1.649242e-01
1.130000e+00 1.000000e+00 1.300000e+00 2.450000e+00 3.000000e-02 3.000000e-02 1.200000e-01 1.200000e-01 1.236932e-01 1.236932e-01
1.500000e+00 1.300000e+00 1.710000e+00 1.612000e+00 1.900000e-02 1.900000e-02 7.800000e-02 7.800000e-02 8.028076e-02 8.028076e-02
1.940000e+00 1.710000e+00 2.240000e+00 1.057000e+00 1.300000e-02 1.300000e-02 5.100000e-02 5.100000e-02 5.263079e-02 5.263079e-02
2.530000e+00 2.240000e+00 2.930000e+00 6.700000e-01 9.000000e-03 9.000000e-03 3.200000e-02 3.200000e-02 3.324154e-02 3.324154e-02
3.340000e+00 2.930000e+00 3.840000e+00 3.990000e-01 6.000000e-03 6.000000e-03 2.000000e-02 2.000000e-02 2.088061e-02 2.088061e-02
4.360000e+00 3.840000e+00 5.030000e+00 2.320000e-01 4.000000e-03 4.000000e-03 1.200000e-02 1.200000e-02 1.264911e-02 1.264911e-02
5.730000e+00 5.030000e+00 6.600000e+00 1.310000e-01 2.000000e-03 2.000000e-03 7.000000e-03 7.000000e-03 7.280110e-03 7.280110e-03
7.490000e+00 6.600000e+00 8.650000e+00 7.320000e-02 1.400000e-03 1.400000e-03 3.800000e-03 3.800000e-03 4.049691e-03 4.049691e-03
9.810000e+00 8.650000e+00 1.130000e+01 3.650000e-02 8.000000e-04 8.000000e-04 1.900000e-03 1.900000e-03 2.061553e-03 2.061553e-03
1.290000e+01 1.130000e+01 1.490000e+01 1.810000e-02 5.000000e-04 5.000000e-04 1.000000e-03 1.000000e-03 1.118034e-03 1.118034e-03
1.690000e+01 1.490000e+01 1.950000e+01 9.000000e-03 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04 5.830952e-04 5.830952e-04
2.210000e+01 1.950000e+01 2.550000e+01 4.600000e-03 2.000000e-04 2.000000e-04 3.000000e-04 3.000000e-04 3.605551e-04 3.605551e-04
3.260000e+01 2.550000e+01 4.380000e+01 1.670000e-03 7.000000e-05 7.000000e-05 7.000000e-05 7.000000e-05 9.899495e-05 9.899495e-05
5.570000e+01 4.380000e+01 7.530000e+01 3.800000e-04 3.000000e-05 3.000000e-05 2.000000e-05 2.000000e-05 3.605551e-05 3.605551e-05
9.560000e+01 7.530000e+01 1.290000e+02 8.500000e-05 8.000000e-06 8.000000e-06 4.000000e-06 4.000000e-06 8.944272e-06 8.944272e-06
