#   He  AMS01(1998/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.848770e-02 7.448350e-02 1.051250e-01 1.571350e+02 7.856740e+01 7.856740e+01 0.000000e+00 0.000000e+00 7.856740e+01 7.856740e+01
1.256450e-01 1.051250e-01 1.501710e-01 2.068890e+02 1.226950e+01 1.226950e+01 0.000000e+00 0.000000e+00 1.226950e+01 1.226950e+01
1.775870e-01 1.501710e-01 2.100080e-01 2.152450e+02 1.179420e+01 1.179420e+01 0.000000e+00 0.000000e+00 1.179420e+01 1.179420e+01
2.135420e-01 1.900000e-01 2.400000e-01 2.149967e+02 2.099860e+01 1.972926e+01 1.260783e+01 1.260783e+01 2.449283e+01 2.341369e+01
2.466760e-01 2.100080e-01 2.897470e-01 2.051760e+02 1.110820e+01 1.110820e+01 0.000000e+00 0.000000e+00 1.110820e+01 1.110820e+01
3.414500e-01 2.897470e-01 4.023790e-01 1.875490e+02 1.027260e+01 1.027260e+01 0.000000e+00 0.000000e+00 1.027260e+01 1.027260e+01
4.135210e-01 3.800000e-01 4.500000e-01 1.777778e+02 1.395150e+01 1.395150e+01 8.080809e+00 8.080809e+00 1.612277e+01 1.612277e+01
4.680020e-01 4.023790e-01 5.443270e-01 1.559930e+02 8.576960e+00 8.576960e+00 0.000000e+00 0.000000e+00 8.576960e+00 8.576960e+00
5.585700e-01 5.200000e-01 6.000000e-01 1.451292e+02 1.226517e+01 1.200564e+01 9.940357e+00 9.940357e+00 1.578750e+01 1.558673e+01
6.299560e-01 5.443270e-01 7.290550e-01 1.231220e+02 6.729350e+00 6.729350e+00 0.000000e+00 0.000000e+00 6.729350e+00 6.729350e+00
8.397840e-01 7.290550e-01 9.673300e-01 9.312690e+01 4.938550e+00 4.938550e+00 0.000000e+00 0.000000e+00 4.938550e+00 4.938550e+00
1.106360e+00 9.673300e-01 1.265380e+00 6.926520e+01 3.823080e+00 3.823080e+00 0.000000e+00 0.000000e+00 3.823080e+00 3.823080e+00
1.439640e+00 1.265380e+00 1.637890e+00 4.915520e+01 2.610010e+00 2.610010e+00 0.000000e+00 0.000000e+00 2.610010e+00 2.610010e+00
1.850280e+00 1.637890e+00 2.090220e+00 3.375010e+01 1.825480e+00 1.825480e+00 0.000000e+00 0.000000e+00 1.825480e+00 1.825480e+00
2.354080e+00 2.090220e+00 2.651250e+00 2.294230e+01 1.230540e+00 1.230540e+00 0.000000e+00 0.000000e+00 1.230540e+00 1.230540e+00
2.971770e+00 2.651250e+00 3.331050e+00 1.499370e+01 8.032320e-01 8.032320e-01 0.000000e+00 0.000000e+00 8.032320e-01 8.032320e-01
3.719850e+00 3.331050e+00 4.154040e+00 9.614990e+00 5.103500e-01 5.103500e-01 0.000000e+00 0.000000e+00 5.103500e-01 5.103500e-01
4.625180e+00 4.154040e+00 5.149750e+00 6.065930e+00 3.245980e-01 3.245980e-01 0.000000e+00 0.000000e+00 3.245980e-01 3.245980e-01
5.719720e+00 5.149750e+00 6.352780e+00 3.817670e+00 2.019930e-01 2.019930e-01 0.000000e+00 0.000000e+00 2.019930e-01 2.019930e-01
7.042790e+00 6.352780e+00 7.807750e+00 2.396420e+00 1.288830e-01 1.288830e-01 0.000000e+00 0.000000e+00 1.288830e-01 1.288830e-01
8.637040e+00 7.807750e+00 9.554410e+00 1.481050e+00 8.038240e-02 8.038240e-02 0.000000e+00 0.000000e+00 8.038240e-02 8.038240e-02
1.055590e+01 9.554410e+00 1.166240e+01 9.431110e-01 5.217210e-02 5.217210e-02 0.000000e+00 0.000000e+00 5.217210e-02 5.217210e-02
1.286730e+01 1.166240e+01 1.419660e+01 5.793240e-01 3.207330e-02 3.207330e-02 0.000000e+00 0.000000e+00 3.207330e-02 3.207330e-02
1.564760e+01 1.419660e+01 1.724680e+01 3.445450e-01 1.882980e-02 1.882980e-02 0.000000e+00 0.000000e+00 1.882980e-02 1.882980e-02
1.899150e+01 1.724680e+01 2.091280e+01 2.022210e-01 1.121230e-02 1.121230e-02 0.000000e+00 0.000000e+00 1.121230e-02 1.121230e-02
2.301310e+01 2.091280e+01 2.532440e+01 1.264960e-01 7.005320e-03 7.005320e-03 0.000000e+00 0.000000e+00 7.005320e-03 7.005320e-03
2.785190e+01 2.532440e+01 3.063170e+01 7.603990e-02 4.202210e-03 4.202210e-03 0.000000e+00 0.000000e+00 4.202210e-03 4.202210e-03
3.366990e+01 3.063170e+01 3.700940e+01 4.441620e-02 2.400880e-03 2.400880e-03 0.000000e+00 0.000000e+00 2.400880e-03 2.400880e-03
4.066310e+01 3.700940e+01 4.467740e+01 2.740690e-02 1.600400e-03 1.600400e-03 0.000000e+00 0.000000e+00 1.600400e-03 1.600400e-03
4.907290e+01 4.467740e+01 5.390080e+01 1.658290e-02 1.000180e-03 1.000180e-03 0.000000e+00 0.000000e+00 1.000180e-03 1.000180e-03
5.918600e+01 5.390080e+01 6.498950e+01 9.821180e-03 6.600790e-04 6.600790e-04 0.000000e+00 0.000000e+00 6.600790e-04 6.600790e-04
7.134340e+01 6.498950e+01 7.831840e+01 5.560470e-03 3.800320e-04 3.800320e-04 0.000000e+00 0.000000e+00 3.800320e-04 3.800320e-04
8.596010e+01 7.831840e+01 9.434750e+01 3.300200e-03 2.800170e-04 2.800170e-04 0.000000e+00 0.000000e+00 2.800170e-04 2.800170e-04
1.035350e+02 9.434750e+01 1.136170e+02 2.360090e-03 1.600060e-04 1.600060e-04 0.000000e+00 0.000000e+00 1.600060e-04 1.600060e-04
