#   He  ATIC02(2003/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.136790e+01 1.136790e+01 1.136790e+01 6.920000e-01 8.000000e-03 8.000000e-03 0.000000e+00 0.000000e+00 8.000000e-03 8.000000e-03
1.854290e+01 1.854290e+01 1.854290e+01 2.056000e-01 1.200000e-03 1.200000e-03 0.000000e+00 0.000000e+00 1.200000e-03 1.200000e-03
2.981790e+01 2.981790e+01 2.981790e+01 6.080000e-02 4.000000e-04 4.000000e-04 0.000000e+00 0.000000e+00 4.000000e-04 4.000000e-04
4.806790e+01 4.806790e+01 4.806790e+01 1.840000e-02 1.200000e-04 1.200000e-04 0.000000e+00 0.000000e+00 1.200000e-04 1.200000e-04
7.656790e+01 7.656790e+01 7.656790e+01 5.640000e-03 4.000000e-05 4.000000e-05 0.000000e+00 0.000000e+00 4.000000e-05 4.000000e-05
1.220679e+02 1.220679e+02 1.220679e+02 1.736000e-03 2.000000e-05 2.000000e-05 0.000000e+00 0.000000e+00 2.000000e-05 2.000000e-05
1.938179e+02 1.938179e+02 1.938179e+02 5.280000e-04 8.000000e-06 8.000000e-06 0.000000e+00 0.000000e+00 8.000000e-06 8.000000e-06
3.065679e+02 3.065679e+02 3.065679e+02 1.556000e-04 4.000000e-07 4.000000e-07 0.000000e+00 0.000000e+00 4.000000e-07 4.000000e-07
4.890679e+02 4.890679e+02 4.890679e+02 4.800000e-05 1.600000e-06 1.600000e-06 0.000000e+00 0.000000e+00 1.600000e-06 1.600000e-06
7.740679e+02 7.740679e+02 7.740679e+02 1.568000e-05 6.400000e-07 6.400000e-07 0.000000e+00 0.000000e+00 6.400000e-07 6.400000e-07
1.229068e+03 1.229068e+03 1.229068e+03 5.000000e-06 3.600000e-07 3.600000e-07 0.000000e+00 0.000000e+00 3.600000e-07 3.600000e-07
1.946568e+03 1.946568e+03 1.946568e+03 1.656000e-06 1.280000e-07 1.280000e-07 0.000000e+00 0.000000e+00 1.280000e-07 1.280000e-07
3.074068e+03 3.074068e+03 3.074068e+03 5.400000e-07 6.400000e-08 6.400000e-08 0.000000e+00 0.000000e+00 6.400000e-08 6.400000e-08
4.899068e+03 4.899068e+03 4.899068e+03 1.312000e-07 2.440000e-08 2.440000e-08 0.000000e+00 0.000000e+00 2.440000e-08 2.440000e-08
7.749068e+03 7.749068e+03 7.749068e+03 3.624000e-08 1.036000e-08 1.036000e-08 0.000000e+00 0.000000e+00 1.036000e-08 1.036000e-08
