#   He  BESS95(1995/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.010000e-01 2.010000e-01 2.010000e-01 3.120000e+02 3.460000e+01 3.460000e+01 0.000000e+00 0.000000e+00 3.460000e+01 3.460000e+01
2.690000e-01 2.690000e-01 2.690000e-01 2.940000e+02 3.080000e+01 3.080000e+01 0.000000e+00 0.000000e+00 3.080000e+01 3.080000e+01
3.590000e-01 3.590000e-01 3.590000e-01 2.650000e+02 2.480000e+01 2.480000e+01 0.000000e+00 0.000000e+00 2.480000e+01 2.480000e+01
4.780000e-01 4.780000e-01 4.780000e-01 2.120000e+02 2.350000e+01 2.350000e+01 0.000000e+00 0.000000e+00 2.350000e+01 2.350000e+01
6.370000e-01 6.370000e-01 6.370000e-01 1.600000e+02 1.590000e+01 1.590000e+01 0.000000e+00 0.000000e+00 1.590000e+01 1.590000e+01
8.520000e-01 8.520000e-01 8.520000e-01 1.100000e+02 1.090000e+01 1.090000e+01 0.000000e+00 0.000000e+00 1.090000e+01 1.090000e+01
1.141000e+00 1.141000e+00 1.141000e+00 7.910000e+01 8.320000e+00 8.320000e+00 0.000000e+00 0.000000e+00 8.320000e+00 8.320000e+00
1.509000e+00 1.509000e+00 1.509000e+00 4.940000e+01 4.620000e+00 4.620000e+00 0.000000e+00 0.000000e+00 4.620000e+00 4.620000e+00
2.009000e+00 2.009000e+00 2.009000e+00 3.180000e+01 2.570000e+00 2.570000e+00 0.000000e+00 0.000000e+00 2.570000e+00 2.570000e+00
2.699000e+00 2.699000e+00 2.699000e+00 1.800000e+01 1.470000e+00 1.470000e+00 0.000000e+00 0.000000e+00 1.470000e+00 1.470000e+00
3.590000e+00 3.590000e+00 3.590000e+00 1.070000e+01 9.200000e-01 9.200000e-01 0.000000e+00 0.000000e+00 9.200000e-01 9.200000e-01
4.771000e+00 4.771000e+00 4.771000e+00 5.500000e+00 4.800000e-01 4.800000e-01 0.000000e+00 0.000000e+00 4.800000e-01 4.800000e-01
6.478000e+00 6.478000e+00 6.478000e+00 2.930000e+00 3.200000e-01 3.200000e-01 0.000000e+00 0.000000e+00 3.200000e-01 3.200000e-01
8.563000e+00 8.563000e+00 8.563000e+00 1.530000e+00 1.400000e-01 1.400000e-01 0.000000e+00 0.000000e+00 1.400000e-01 1.400000e-01
