#   He  BESS-PolarI(2004/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.050000e-01 2.000000e-01 2.110000e-01 1.556000e+02 1.600000e+00 1.600000e+00 3.400000e+00 3.400000e+00 3.757659e+00 3.757659e+00
2.180000e-01 2.110000e-01 2.240000e-01 1.644000e+02 1.600000e+00 1.600000e+00 3.500000e+00 3.500000e+00 3.848376e+00 3.848376e+00
2.310000e-01 2.240000e-01 2.370000e-01 1.645000e+02 1.500000e+00 1.500000e+00 3.500000e+00 3.500000e+00 3.807887e+00 3.807887e+00
2.440000e-01 2.370000e-01 2.510000e-01 1.674000e+02 1.500000e+00 1.500000e+00 3.600000e+00 3.600000e+00 3.900000e+00 3.900000e+00
2.590000e-01 2.510000e-01 2.660000e-01 1.715000e+02 1.400000e+00 1.400000e+00 3.600000e+00 3.600000e+00 3.862642e+00 3.862642e+00
2.740000e-01 2.660000e-01 2.820000e-01 1.693000e+02 1.400000e+00 1.400000e+00 3.500000e+00 3.500000e+00 3.769615e+00 3.769615e+00
2.900000e-01 2.820000e-01 2.980000e-01 1.699000e+02 1.300000e+00 1.300000e+00 3.600000e+00 3.600000e+00 3.827532e+00 3.827532e+00
3.070000e-01 2.980000e-01 3.160000e-01 1.676000e+02 1.300000e+00 1.300000e+00 3.500000e+00 3.500000e+00 3.733631e+00 3.733631e+00
3.260000e-01 3.160000e-01 3.350000e-01 1.667000e+02 1.200000e+00 1.200000e+00 3.500000e+00 3.500000e+00 3.700000e+00 3.700000e+00
3.450000e-01 3.350000e-01 3.550000e-01 1.645000e+02 1.200000e+00 1.200000e+00 3.400000e+00 3.400000e+00 3.605551e+00 3.605551e+00
3.650000e-01 3.550000e-01 3.760000e-01 1.651000e+02 1.200000e+00 1.200000e+00 3.500000e+00 3.500000e+00 3.700000e+00 3.700000e+00
3.870000e-01 3.760000e-01 3.980000e-01 1.623000e+02 1.100000e+00 1.100000e+00 3.400000e+00 3.400000e+00 3.573514e+00 3.573514e+00
4.100000e-01 3.980000e-01 4.220000e-01 1.584000e+02 1.100000e+00 1.100000e+00 3.400000e+00 3.400000e+00 3.573514e+00 3.573514e+00
4.340000e-01 4.220000e-01 4.470000e-01 1.555000e+02 1.000000e+00 1.000000e+00 3.300000e+00 3.300000e+00 3.448188e+00 3.448188e+00
4.600000e-01 4.470000e-01 4.730000e-01 1.527000e+02 1.000000e+00 1.000000e+00 3.300000e+00 3.300000e+00 3.448188e+00 3.448188e+00
4.870000e-01 4.730000e-01 5.010000e-01 1.487000e+02 9.000000e-01 9.000000e-01 3.200000e+00 3.200000e+00 3.324154e+00 3.324154e+00
5.160000e-01 5.010000e-01 5.310000e-01 1.446000e+02 9.000000e-01 9.000000e-01 3.200000e+00 3.200000e+00 3.324154e+00 3.324154e+00
5.460000e-01 5.310000e-01 5.620000e-01 1.402000e+02 8.000000e-01 8.000000e-01 3.200000e+00 3.200000e+00 3.298485e+00 3.298485e+00
5.790000e-01 5.620000e-01 5.960000e-01 1.337000e+02 8.000000e-01 8.000000e-01 3.000000e+00 3.000000e+00 3.104835e+00 3.104835e+00
6.130000e-01 5.960000e-01 6.310000e-01 1.295000e+02 8.000000e-01 8.000000e-01 3.000000e+00 3.000000e+00 3.104835e+00 3.104835e+00
6.490000e-01 6.310000e-01 6.680000e-01 1.261000e+02 7.000000e-01 7.000000e-01 2.900000e+00 2.900000e+00 2.983287e+00 2.983287e+00
6.880000e-01 6.680000e-01 7.080000e-01 1.198000e+02 7.000000e-01 7.000000e-01 2.800000e+00 2.800000e+00 2.886174e+00 2.886174e+00
7.290000e-01 7.080000e-01 7.500000e-01 1.142000e+02 7.000000e-01 7.000000e-01 2.700000e+00 2.700000e+00 2.789265e+00 2.789265e+00
7.720000e-01 7.500000e-01 7.940000e-01 1.088000e+02 6.000000e-01 6.000000e-01 2.600000e+00 2.600000e+00 2.668333e+00 2.668333e+00
8.180000e-01 7.940000e-01 8.410000e-01 1.047000e+02 6.000000e-01 6.000000e-01 2.500000e+00 2.500000e+00 2.570992e+00 2.570992e+00
8.660000e-01 8.410000e-01 8.910000e-01 9.876000e+01 5.600000e-01 5.600000e-01 2.390000e+00 2.390000e+00 2.454730e+00 2.454730e+00
9.170000e-01 8.910000e-01 9.440000e-01 9.476000e+01 5.300000e-01 5.300000e-01 2.300000e+00 2.300000e+00 2.360275e+00 2.360275e+00
9.720000e-01 9.440000e-01 1.000000e+00 8.692000e+01 4.900000e-01 4.900000e-01 2.120000e+00 2.120000e+00 2.175891e+00 2.175891e+00
1.039000e+00 1.000000e+00 1.080000e+00 8.162000e+01 4.000000e-01 4.000000e-01 1.990000e+00 1.990000e+00 2.029803e+00 2.029803e+00
1.122000e+00 1.080000e+00 1.166000e+00 7.431000e+01 3.700000e-01 3.700000e-01 1.810000e+00 1.810000e+00 1.847431e+00 1.847431e+00
1.212000e+00 1.166000e+00 1.259000e+00 6.871000e+01 3.400000e-01 3.400000e-01 1.680000e+00 1.680000e+00 1.714060e+00 1.714060e+00
1.308000e+00 1.259000e+00 1.359000e+00 6.155000e+01 3.100000e-01 3.100000e-01 1.500000e+00 1.500000e+00 1.531698e+00 1.531698e+00
1.413000e+00 1.359000e+00 1.468000e+00 5.553000e+01 2.800000e-01 2.800000e-01 1.350000e+00 1.350000e+00 1.378731e+00 1.378731e+00
1.525000e+00 1.468000e+00 1.585000e+00 5.030000e+01 2.600000e-01 2.600000e-01 1.220000e+00 1.220000e+00 1.247397e+00 1.247397e+00
1.647000e+00 1.585000e+00 1.711000e+00 4.456000e+01 2.400000e-01 2.400000e-01 1.070000e+00 1.070000e+00 1.096586e+00 1.096586e+00
1.778000e+00 1.711000e+00 1.848000e+00 3.986000e+01 2.200000e-01 2.200000e-01 9.600000e-01 9.600000e-01 9.848858e-01 9.848858e-01
1.920000e+00 1.848000e+00 1.995000e+00 3.541000e+01 2.000000e-01 2.000000e-01 8.400000e-01 8.400000e-01 8.634813e-01 8.634813e-01
2.073000e+00 1.995000e+00 2.154000e+00 3.126000e+01 1.800000e-01 1.800000e-01 7.400000e-01 7.400000e-01 7.615773e-01 7.615773e-01
2.239000e+00 2.154000e+00 2.326000e+00 2.774000e+01 1.600000e-01 1.600000e-01 6.500000e-01 6.500000e-01 6.694027e-01 6.694027e-01
2.417000e+00 2.326000e+00 2.512000e+00 2.409000e+01 1.400000e-01 1.400000e-01 5.600000e-01 5.600000e-01 5.772348e-01 5.772348e-01
2.610000e+00 2.512000e+00 2.712000e+00 2.118000e+01 1.300000e-01 1.300000e-01 4.900000e-01 4.900000e-01 5.069517e-01 5.069517e-01
2.818000e+00 2.712000e+00 2.929000e+00 1.856000e+01 1.200000e-01 1.200000e-01 4.300000e-01 4.300000e-01 4.464303e-01 4.464303e-01
3.043000e+00 2.929000e+00 3.162000e+00 1.603000e+01 1.100000e-01 1.100000e-01 3.700000e-01 3.700000e-01 3.860052e-01 3.860052e-01
3.318000e+00 3.162000e+00 3.481000e+00 1.364000e+01 8.000000e-02 8.000000e-02 3.100000e-01 3.100000e-01 3.201562e-01 3.201562e-01
3.652000e+00 3.481000e+00 3.831000e+00 1.132000e+01 7.000000e-02 7.000000e-02 2.600000e-01 2.600000e-01 2.692582e-01 2.692582e-01
4.019000e+00 3.831000e+00 4.217000e+00 9.400000e+00 6.300000e-02 6.300000e-02 2.100000e-01 2.100000e-01 2.192464e-01 2.192464e-01
4.424000e+00 4.217000e+00 4.642000e+00 7.615000e+00 5.400000e-02 5.400000e-02 1.700000e-01 1.700000e-01 1.783704e-01 1.783704e-01
4.869000e+00 4.642000e+00 5.109000e+00 6.318000e+00 4.700000e-02 4.700000e-02 1.400000e-01 1.400000e-01 1.476787e-01 1.476787e-01
