#   He  BESS-PolarII(2007/12-2008/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.050000e-01 2.000000e-01 2.110000e-01 3.416000e+02 8.000000e-01 8.000000e-01 7.700000e+00 7.700000e+00 7.741447e+00 7.741447e+00
2.180000e-01 2.110000e-01 2.240000e-01 3.403000e+02 8.000000e-01 8.000000e-01 7.700000e+00 7.700000e+00 7.741447e+00 7.741447e+00
2.310000e-01 2.240000e-01 2.370000e-01 3.394000e+02 8.000000e-01 8.000000e-01 7.700000e+00 7.700000e+00 7.741447e+00 7.741447e+00
2.440000e-01 2.370000e-01 2.510000e-01 3.349000e+02 7.000000e-01 7.000000e-01 7.600000e+00 7.600000e+00 7.632169e+00 7.632169e+00
2.590000e-01 2.510000e-01 2.660000e-01 3.302000e+02 7.000000e-01 7.000000e-01 7.500000e+00 7.500000e+00 7.532596e+00 7.532596e+00
2.740000e-01 2.660000e-01 2.820000e-01 3.259000e+02 7.000000e-01 7.000000e-01 7.400000e+00 7.400000e+00 7.433034e+00 7.433034e+00
2.900000e-01 2.820000e-01 2.980000e-01 3.167000e+02 6.000000e-01 6.000000e-01 7.200000e+00 7.200000e+00 7.224957e+00 7.224957e+00
3.070000e-01 2.980000e-01 3.160000e-01 3.112000e+02 6.000000e-01 6.000000e-01 7.000000e+00 7.000000e+00 7.025667e+00 7.025667e+00
3.260000e-01 3.160000e-01 3.350000e-01 3.020000e+02 6.000000e-01 6.000000e-01 6.800000e+00 6.800000e+00 6.826419e+00 6.826419e+00
3.450000e-01 3.350000e-01 3.550000e-01 2.938000e+02 6.000000e-01 6.000000e-01 6.600000e+00 6.600000e+00 6.627217e+00 6.627217e+00
3.650000e-01 3.550000e-01 3.760000e-01 2.855000e+02 5.000000e-01 5.000000e-01 6.500000e+00 6.500000e+00 6.519202e+00 6.519202e+00
3.870000e-01 3.760000e-01 3.980000e-01 2.752000e+02 5.000000e-01 5.000000e-01 6.200000e+00 6.200000e+00 6.220129e+00 6.220129e+00
4.100000e-01 3.980000e-01 4.220000e-01 2.667000e+02 5.000000e-01 5.000000e-01 6.100000e+00 6.100000e+00 6.120457e+00 6.120457e+00
4.340000e-01 4.220000e-01 4.470000e-01 2.557000e+02 5.000000e-01 5.000000e-01 5.900000e+00 5.900000e+00 5.921149e+00 5.921149e+00
4.600000e-01 4.470000e-01 4.730000e-01 2.464000e+02 5.000000e-01 5.000000e-01 5.700000e+00 5.700000e+00 5.721888e+00 5.721888e+00
4.870000e-01 4.730000e-01 5.010000e-01 2.362000e+02 4.000000e-01 4.000000e-01 5.600000e+00 5.600000e+00 5.614268e+00 5.614268e+00
5.160000e-01 5.010000e-01 5.310000e-01 2.256000e+02 4.000000e-01 4.000000e-01 5.400000e+00 5.400000e+00 5.414795e+00 5.414795e+00
5.460000e-01 5.310000e-01 5.620000e-01 2.156000e+02 4.000000e-01 4.000000e-01 5.300000e+00 5.300000e+00 5.315073e+00 5.315073e+00
