#   He  BESS-TeV(2002/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.323040e-01 2.150000e-01 2.510000e-01 7.660000e+01 3.700000e+00 3.700000e+00 5.500000e+00 5.500000e+00 6.628725e+00 6.628725e+00
2.711880e-01 2.510000e-01 2.930000e-01 8.310000e+01 3.500000e+00 3.500000e+00 5.900000e+00 5.900000e+00 6.860029e+00 6.860029e+00
3.165530e-01 2.930000e-01 3.420000e-01 8.540000e+01 3.300000e+00 3.300000e+00 6.100000e+00 6.100000e+00 6.935416e+00 6.935416e+00
3.689390e-01 3.420000e-01 3.980000e-01 7.550000e+01 2.900000e+00 2.900000e+00 5.400000e+00 5.400000e+00 6.129437e+00 6.129437e+00
4.297350e-01 3.980000e-01 4.640000e-01 8.310000e+01 2.800000e+00 2.800000e+00 5.900000e+00 5.900000e+00 6.530697e+00 6.530697e+00
5.010230e-01 4.640000e-01 5.410000e-01 8.440000e+01 2.600000e+00 2.600000e+00 6.000000e+00 6.000000e+00 6.539113e+00 6.539113e+00
5.842700e-01 5.410000e-01 6.310000e-01 8.010000e+01 2.400000e+00 2.400000e+00 5.700000e+00 5.700000e+00 6.184658e+00 6.184658e+00
6.814810e-01 6.310000e-01 7.360000e-01 7.230000e+01 2.100000e+00 2.100000e+00 5.100000e+00 5.100000e+00 5.515433e+00 5.515433e+00
7.946620e-01 7.360000e-01 8.580000e-01 6.560000e+01 1.900000e+00 1.900000e+00 4.700000e+00 4.700000e+00 5.069517e+00 5.069517e+00
9.262830e-01 8.580000e-01 1.000000e+00 6.160000e+01 1.700000e+00 1.700000e+00 4.400000e+00 4.400000e+00 4.716991e+00 4.716991e+00
1.081670e+00 1.000000e+00 1.170000e+00 5.320000e+01 1.500000e+00 1.500000e+00 3.800000e+00 3.800000e+00 4.085340e+00 4.085340e+00
1.261430e+00 1.170000e+00 1.360000e+00 4.860000e+01 1.300000e+00 1.300000e+00 3.400000e+00 3.400000e+00 3.640055e+00 3.640055e+00
1.465880e+00 1.360000e+00 1.580000e+00 4.090000e+01 1.100000e+00 1.100000e+00 2.900000e+00 2.900000e+00 3.101612e+00 3.101612e+00
1.709680e+00 1.580000e+00 1.850000e+00 3.250000e+01 9.000000e-01 9.000000e-01 2.300000e+00 2.300000e+00 2.469818e+00 2.469818e+00
1.994370e+00 1.850000e+00 2.150000e+00 2.650000e+01 8.000000e-01 8.000000e-01 1.900000e+00 1.900000e+00 2.061553e+00 2.061553e+00
2.323040e+00 2.150000e+00 2.510000e+00 2.190000e+01 7.000000e-01 7.000000e-01 1.600000e+00 1.600000e+00 1.746425e+00 1.746425e+00
2.711880e+00 2.510000e+00 2.930000e+00 1.830000e+01 6.000000e-01 6.000000e-01 1.300000e+00 1.300000e+00 1.431782e+00 1.431782e+00
3.165530e+00 2.930000e+00 3.420000e+00 1.380000e+01 4.000000e-01 4.000000e-01 1.000000e+00 1.000000e+00 1.077033e+00 1.077033e+00
3.689390e+00 3.420000e+00 3.980000e+00 9.810000e+00 3.500000e-01 3.500000e-01 7.000000e-01 7.000000e-01 7.826238e-01 7.826238e-01
4.297350e+00 3.980000e+00 4.640000e+00 7.690000e+00 2.900000e-01 2.900000e-01 5.400000e-01 5.400000e-01 6.129437e-01 6.129437e-01
5.010230e+00 4.640000e+00 5.410000e+00 5.720000e+00 2.300000e-01 2.300000e-01 4.100000e-01 4.100000e-01 4.701064e-01 4.701064e-01
5.842700e+00 5.410000e+00 6.310000e+00 3.980000e+00 6.000000e-02 6.000000e-02 3.200000e-01 3.200000e-01 3.255764e-01 3.255764e-01
6.814810e+00 6.310000e+00 7.360000e+00 2.830000e+00 4.000000e-02 4.000000e-02 2.300000e-01 2.300000e-01 2.334524e-01 2.334524e-01
7.946620e+00 7.360000e+00 8.580000e+00 2.070000e+00 4.000000e-02 4.000000e-02 1.700000e-01 1.700000e-01 1.746425e-01 1.746425e-01
9.262830e+00 8.580000e+00 1.000000e+01 1.480000e+00 3.000000e-02 3.000000e-02 1.200000e-01 1.200000e-01 1.236932e-01 1.236932e-01
1.081670e+01 1.000000e+01 1.170000e+01 1.030000e+00 2.000000e-02 2.000000e-02 8.000000e-02 8.000000e-02 8.246211e-02 8.246211e-02
1.261430e+01 1.170000e+01 1.360000e+01 6.790000e-01 1.600000e-02 1.600000e-02 5.600000e-02 5.600000e-02 5.824088e-02 5.824088e-02
1.465880e+01 1.360000e+01 1.580000e+01 4.730000e-01 1.200000e-02 1.200000e-02 3.900000e-02 3.900000e-02 4.080441e-02 4.080441e-02
1.709680e+01 1.580000e+01 1.850000e+01 3.280000e-01 1.000000e-02 1.000000e-02 2.700000e-02 2.700000e-02 2.879236e-02 2.879236e-02
1.994370e+01 1.850000e+01 2.150000e+01 2.140000e-01 7.000000e-03 7.000000e-03 1.800000e-02 1.800000e-02 1.931321e-02 1.931321e-02
2.320000e+01 2.150000e+01 2.510000e+01 1.460000e-01 5.000000e-03 5.000000e-03 1.200000e-02 1.200000e-02 1.300000e-02 1.300000e-02
2.710000e+01 2.510000e+01 2.930000e+01 9.670000e-02 4.100000e-03 4.100000e-03 7.900000e-03 7.900000e-03 8.900562e-03 8.900562e-03
3.140000e+01 2.930000e+01 3.410000e+01 5.890000e-02 3.000000e-03 3.000000e-03 4.800000e-03 4.800000e-03 5.660389e-03 5.660389e-03
3.670000e+01 3.410000e+01 3.980000e+01 4.230000e-02 2.400000e-03 2.400000e-03 3.500000e-03 3.500000e-03 4.243819e-03 4.243819e-03
4.290000e+01 3.980000e+01 4.640000e+01 2.850000e-02 1.800000e-03 1.800000e-03 2.400000e-03 2.400000e-03 3.000000e-03 3.000000e-03
4.990000e+01 4.640000e+01 5.410000e+01 1.840000e-02 1.300000e-03 1.300000e-03 1.500000e-03 1.500000e-03 1.984943e-03 1.984943e-03
6.250000e+01 5.410000e+01 7.360000e+01 9.400000e-03 9.200000e-04 9.200000e-04 9.000000e-04 9.000000e-04 1.287012e-03 1.287012e-03
8.610000e+01 7.360000e+01 1.000000e+02 4.140000e-03 5.300000e-04 5.300000e-04 4.100000e-04 4.100000e-04 6.700746e-04 6.700746e-04
1.160000e+02 1.000000e+02 1.360000e+02 2.160000e-03 3.300000e-04 3.300000e-04 2.200000e-04 2.200000e-04 3.966106e-04 3.966106e-04
1.750000e+02 1.360000e+02 2.510000e+02 5.530000e-04 9.200000e-05 9.200000e-05 6.400000e-05 6.400000e-05 1.120714e-04 1.120714e-04
