#   He  CREAM-I(2004/12-2005/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
7.896379e+02 6.240679e+02 9.990679e+02 1.420000e-05 4.000000e-07 4.000000e-07 0.000000e+00 0.000000e+00 4.000000e-07 4.000000e-07
1.254058e+03 9.990679e+02 1.574068e+03 4.350000e-06 1.600000e-07 1.600000e-07 0.000000e+00 0.000000e+00 1.600000e-07 1.600000e-07
1.983380e+03 1.574068e+03 2.499068e+03 1.310000e-06 7.000000e-08 7.000000e-08 0.000000e+00 0.000000e+00 7.000000e-08 7.000000e-08
3.161343e+03 2.499068e+03 3.999068e+03 3.830000e-07 3.100000e-08 3.100000e-08 0.000000e+00 0.000000e+00 3.100000e-08 3.100000e-08
4.999068e+03 3.999068e+03 6.249068e+03 1.270000e-07 1.400000e-08 1.400000e-08 0.000000e+00 0.000000e+00 1.400000e-08 1.400000e-08
7.904768e+03 6.249068e+03 9.999068e+03 4.190000e-08 6.400000e-09 6.400000e-09 0.000000e+00 0.000000e+00 6.400000e-09 6.400000e-09
1.254897e+04 9.999068e+03 1.574907e+04 1.150000e-08 2.700000e-09 2.700000e-09 0.000000e+00 0.000000e+00 2.700000e-09 2.700000e-09
1.984219e+04 1.574907e+04 2.499907e+04 3.400000e-09 1.000000e-09 1.100000e-09 0.000000e+00 0.000000e+00 1.000000e-09 1.100000e-09
3.162182e+04 2.499907e+04 3.999907e+04 8.200000e-10 3.800000e-10 4.900000e-10 0.000000e+00 0.000000e+00 3.800000e-10 4.900000e-10
4.999907e+04 3.999907e+04 6.249907e+04 2.900000e-10 1.500000e-10 2.400000e-10 0.000000e+00 0.000000e+00 1.500000e-10 2.400000e-10
