#   He  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.280111e-01 1.232841e-01 1.352381e-01 1.780146e+02 1.679383e+00 1.679383e+00 8.396916e+00 8.396916e+00 8.563208e+00 8.563208e+00
1.401456e-01 1.352381e-01 1.476387e-01 2.152583e+02 1.618483e+00 1.618483e+00 8.092416e+00 8.092416e+00 8.252677e+00 8.252677e+00
1.527205e-01 1.476387e-01 1.604706e-01 2.478472e+02 1.563705e+00 1.563705e+00 7.818523e+00 7.818523e+00 7.973360e+00 7.973360e+00
1.657208e-01 1.604706e-01 1.737190e-01 2.801335e+02 1.514235e+00 1.514235e+00 1.135676e+01 1.135676e+01 1.145726e+01 1.145726e+01
1.818617e-01 1.737190e-01 1.901458e-01 2.972998e+02 1.460933e+00 1.460933e+00 1.095699e+01 1.095699e+01 1.105396e+01 1.105396e+01
1.957456e-01 1.901458e-01 2.071259e-01 3.140205e+02 1.420907e+00 1.420907e+00 1.065680e+01 1.065680e+01 1.075111e+01 1.075111e+01
2.129047e-01 2.071259e-01 2.246349e-01 3.192237e+02 1.377449e+00 1.377449e+00 1.033086e+01 1.033086e+01 1.042229e+01 1.042229e+01
2.335803e-01 2.246349e-01 2.426492e-01 3.197293e+02 1.332206e+00 1.332206e+00 1.332206e+01 1.332206e+01 1.338850e+01 1.338850e+01
2.518386e-01 2.426492e-01 2.642740e-01 3.149600e+02 1.297466e+00 1.297466e+00 1.297466e+01 1.297466e+01 1.303937e+01 1.303937e+01
2.737340e-01 2.642740e-01 2.865204e-01 3.067388e+02 1.261002e+00 1.261002e+00 1.261002e+01 1.261002e+01 1.267291e+01 1.267291e+01
2.962366e-01 2.865204e-01 3.093551e-01 3.012494e+02 1.228336e+00 1.228336e+00 1.228336e+01 1.228336e+01 1.234462e+01 1.234462e+01
3.226552e-01 3.093551e-01 3.361314e-01 2.894899e+02 1.195005e+00 1.195005e+00 1.195005e+01 1.195005e+01 1.200965e+01 1.200965e+01
3.497778e-01 3.361314e-01 3.635893e-01 2.767690e+02 1.165343e+00 1.165343e+00 1.165343e+01 1.165343e+01 1.171155e+01 1.171155e+01
3.775606e-01 3.635893e-01 3.952416e-01 2.633556e+02 8.541261e-01 8.541261e-01 8.541261e+00 8.541261e+00 8.583861e+00 8.583861e+00
4.095541e-01 3.952416e-01 4.276466e-01 2.519250e+02 8.341888e-01 8.341888e-01 8.341888e+00 8.341888e+00 8.383494e+00 8.383494e+00
4.422765e-01 4.276466e-01 4.607517e-01 2.408560e+02 8.164610e-01 8.164610e-01 8.164610e+00 8.164610e+00 8.205331e+00 8.205331e+00
4.756769e-01 4.607517e-01 4.982972e-01 2.268455e+02 8.006312e-01 8.006312e-01 8.006312e+00 8.006312e+00 8.046244e+00 8.046244e+00
5.135265e-01 4.982972e-01 5.365851e-01 2.114146e+02 7.849553e-01 7.849553e-01 7.849553e+00 7.849553e+00 7.888703e+00 7.888703e+00
5.559897e-01 5.365851e-01 5.794923e-01 1.975567e+02 7.697013e-01 7.697013e-01 7.697013e+00 7.697013e+00 7.735402e+00 7.735402e+00
5.992511e-01 5.794923e-01 6.231608e-01 1.850224e+02 5.041483e-01 5.041483e-01 7.562225e+00 7.562225e+00 7.579011e+00 7.579011e+00
6.432447e-01 6.231608e-01 6.715945e-01 1.734119e+02 4.961714e-01 4.961714e-01 7.442571e+00 7.442571e+00 7.459092e+00 7.459092e+00
6.920032e-01 6.715945e-01 7.207872e-01 1.597238e+02 4.884519e-01 4.884519e-01 7.326779e+00 7.326779e+00 7.343043e+00 7.343043e+00
7.456473e-01 7.207872e-01 7.748596e-01 1.484114e+02 4.810744e-01 4.810744e-01 4.810744e+00 4.810744e+00 4.834738e+00 4.834738e+00
8.000695e-01 7.748596e-01 8.296708e-01 1.352516e+02 4.745669e-01 4.745669e-01 4.745668e+00 4.745668e+00 4.769337e+00 4.769337e+00
8.594667e-01 8.296708e-01 8.894478e-01 1.250584e+02 4.683833e-01 4.683833e-01 4.683833e+00 4.683833e+00 4.707194e+00 4.707194e+00
9.196050e-01 8.894478e-01 9.542752e-01 1.152686e+02 4.629261e-01 4.629261e-01 4.629261e+00 4.629261e+00 4.652350e+00 4.652350e+00
9.847819e-01 9.542752e-01 1.024226e+00 1.052854e+02 4.577627e-01 4.577627e-01 4.577627e+00 4.577627e+00 4.600458e+00 4.600458e+00
1.055068e+00 1.024226e+00 1.094920e+00 9.601812e+01 2.264578e-01 2.264578e-01 4.529157e+00 4.529157e+00 4.534815e+00 4.534815e+00
1.126063e+00 1.094920e+00 1.170764e+00 8.703729e+01 2.243229e-01 2.243229e-01 4.486459e+00 4.486459e+00 4.492064e+00 4.492064e+00
1.206693e+00 1.170764e+00 1.251804e+00 8.021861e+01 2.222122e-01 2.222122e-01 2.222122e+00 2.222122e+00 2.233205e+00 2.233205e+00
1.288044e+00 1.251804e+00 1.333521e+00 7.249896e+01 2.203616e-01 2.203616e-01 2.203616e+00 2.203616e+00 2.214607e+00 2.214607e+00
1.374610e+00 1.333521e+00 1.425025e+00 6.603093e+01 2.186455e-01 2.186455e-01 2.186455e+00 2.186455e+00 2.197360e+00 2.197360e+00
1.466423e+00 1.425025e+00 1.517193e+00 5.990879e+01 2.170608e-01 2.170608e-01 2.170608e+00 2.170608e+00 2.181434e+00 2.181434e+00
1.563504e+00 1.517193e+00 1.614606e+00 5.418099e+01 1.940426e-01 1.940426e-01 1.940426e+00 1.940426e+00 1.950104e+00 1.950104e+00
1.665868e+00 1.614606e+00 1.721960e+00 4.904534e+01 1.714123e-01 1.714123e-01 1.928388e+00 1.928388e+00 1.935991e+00 1.935991e+00
1.768833e+00 1.721960e+00 1.829930e+00 4.417382e+01 1.704730e-01 1.704730e-01 1.704730e+00 1.704730e+00 1.713232e+00 1.713232e+00
1.943176e+00 1.829930e+00 2.066452e+00 3.822425e+01 1.057087e-01 1.057087e-01 1.479921e+00 1.479921e+00 1.483692e+00 1.483692e+00
2.190273e+00 2.066452e+00 2.328949e+00 3.078366e+01 8.382208e-02 8.382208e-02 1.257331e+00 1.257331e+00 1.260122e+00 1.260122e+00
2.468152e+00 2.328949e+00 2.622294e+00 2.501836e+01 6.238993e-02 6.238993e-02 1.039832e+00 1.039832e+00 1.041702e+00 1.041702e+00
2.772092e+00 2.622294e+00 2.941711e+00 2.006566e+01 6.199483e-02 6.199483e-02 8.265978e-01 8.265978e-01 8.289193e-01 8.289193e-01
3.106924e+00 2.941711e+00 3.292023e+00 1.617665e+01 6.166448e-02 6.166448e-02 6.166448e-01 6.166448e-01 6.197204e-01 6.197204e-01
3.477539e+00 3.292023e+00 3.683007e+00 1.301406e+01 4.092472e-02 4.092472e-02 4.092472e-01 4.092472e-01 4.112883e-01 4.112883e-01
3.883960e+00 3.683007e+00 4.109808e+00 1.029465e+01 4.077088e-02 4.077088e-02 4.077088e-01 4.077088e-01 4.097423e-01 4.097423e-01
4.336015e+00 4.109808e+00 4.582249e+00 8.189201e+00 4.064119e-02 4.064119e-02 4.064120e-01 4.064120e-01 4.084390e-01 4.084390e-01
4.828806e+00 4.582249e+00 5.095407e+00 6.525986e+00 2.026704e-02 2.026704e-02 2.026704e-01 2.026704e-01 2.036812e-01 2.036812e-01
5.367243e+00 5.095407e+00 5.664090e+00 5.237655e+00 2.022261e-02 2.022261e-02 2.022261e-01 2.022261e-01 2.032347e-01 2.032347e-01
