#   Fe  Balloon(1987/05+1988/05+1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.470000e+00 3.980000e+00 5.010000e+00 2.630000e-02 3.560000e-03 3.560000e-03 0.000000e+00 0.000000e+00 3.560000e-03 3.560000e-03
5.620000e+00 5.010000e+00 6.310000e+00 1.600000e-02 2.130000e-03 2.130000e-03 0.000000e+00 0.000000e+00 2.130000e-03 2.130000e-03
7.080000e+00 6.310000e+00 7.940000e+00 1.090000e-02 1.350000e-03 1.350000e-03 0.000000e+00 0.000000e+00 1.350000e-03 1.350000e-03
8.910000e+00 7.940000e+00 1.000000e+01 5.990000e-03 8.020000e-04 8.020000e-04 0.000000e+00 0.000000e+00 8.020000e-04 8.020000e-04
1.120000e+01 1.000000e+01 1.260000e+01 3.200000e-03 4.740000e-04 4.740000e-04 0.000000e+00 0.000000e+00 4.740000e-04 4.740000e-04
1.420000e+01 1.260000e+01 1.590000e+01 1.820000e-03 2.920000e-04 2.920000e-04 0.000000e+00 0.000000e+00 2.920000e-04 2.920000e-04
1.780000e+01 1.590000e+01 2.000000e+01 1.120000e-03 1.940000e-04 1.940000e-04 0.000000e+00 0.000000e+00 1.940000e-04 1.940000e-04
2.240000e+01 2.000000e+01 2.510000e+01 6.480000e-04 1.260000e-04 1.260000e-04 0.000000e+00 0.000000e+00 1.260000e-04 1.260000e-04
2.820000e+01 2.510000e+01 3.160000e+01 2.990000e-04 7.600000e-05 7.600000e-05 0.000000e+00 0.000000e+00 7.600000e-05 7.600000e-05
3.550000e+01 3.160000e+01 3.980000e+01 2.160000e-04 5.470000e-05 5.470000e-05 0.000000e+00 0.000000e+00 5.470000e-05 5.470000e-05
4.470000e+01 3.980000e+01 5.010000e+01 1.260000e-04 3.600000e-05 3.600000e-05 0.000000e+00 0.000000e+00 3.600000e-05 3.600000e-05
5.620000e+01 5.010000e+01 6.310000e+01 5.740000e-05 2.150000e-05 2.150000e-05 0.000000e+00 0.000000e+00 2.150000e-05 2.150000e-05
7.080000e+01 6.310000e+01 7.940000e+01 3.680000e-05 6.880000e-06 6.880000e-06 0.000000e+00 0.000000e+00 6.880000e-06 6.880000e-06
8.910000e+01 7.940000e+01 1.000000e+02 2.200000e-05 4.670000e-06 4.670000e-06 0.000000e+00 0.000000e+00 4.670000e-06 4.670000e-06
1.120000e+02 1.000000e+02 1.260000e+02 1.030000e-05 2.850000e-06 2.850000e-06 0.000000e+00 0.000000e+00 2.850000e-06 2.850000e-06
1.420000e+02 1.260000e+02 1.590000e+02 5.620000e-06 1.890000e-06 1.890000e-06 0.000000e+00 0.000000e+00 1.890000e-06 1.890000e-06
1.780000e+02 1.590000e+02 2.000000e+02 2.470000e-06 1.110000e-06 1.110000e-06 0.000000e+00 0.000000e+00 1.110000e-06 1.110000e-06
2.510000e+02 2.000000e+02 3.160000e+02 1.370000e-06 4.790000e-07 4.790000e-07 0.000000e+00 0.000000e+00 4.790000e-07 4.790000e-07
3.980000e+02 3.160000e+02 5.010000e+02 3.860000e-07 1.930000e-07 1.930000e-07 0.000000e+00 0.000000e+00 1.930000e-07 1.930000e-07
6.310000e+02 5.010000e+02 7.940000e+02 1.390000e-07 9.810000e-08 9.810000e-08 0.000000e+00 0.000000e+00 9.810000e-08 9.810000e-08
1.120000e+03 7.940000e+02 1.590000e+03 2.580000e-08 2.580000e-08 2.580000e-08 0.000000e+00 0.000000e+00 2.580000e-08 2.580000e-08
