#   Fe  Balloon(1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.550000e+00 3.550000e+00 3.550000e+00 2.820000e-02 4.030000e-03 4.030000e-03 0.000000e+00 0.000000e+00 4.030000e-03 4.030000e-03
5.010000e+00 5.010000e+00 5.010000e+00 2.070000e-02 1.570000e-03 1.570000e-03 0.000000e+00 0.000000e+00 1.570000e-03 1.570000e-03
7.940000e+00 7.940000e+00 7.940000e+00 9.550000e-03 6.630000e-04 6.630000e-04 0.000000e+00 0.000000e+00 6.630000e-04 6.630000e-04
1.122000e+01 1.122000e+01 1.122000e+01 4.120000e-03 4.520000e-04 4.520000e-04 0.000000e+00 0.000000e+00 4.520000e-04 4.520000e-04
1.413000e+01 1.413000e+01 1.413000e+01 2.240000e-03 2.780000e-04 2.780000e-04 0.000000e+00 0.000000e+00 2.780000e-04 2.780000e-04
1.995000e+01 1.995000e+01 1.995000e+01 1.050000e-03 9.250000e-05 9.250000e-05 0.000000e+00 0.000000e+00 9.250000e-05 9.250000e-05
2.818000e+01 2.818000e+01 2.818000e+01 3.710000e-04 5.100000e-05 5.100000e-05 0.000000e+00 0.000000e+00 5.100000e-05 5.100000e-05
3.548000e+01 3.548000e+01 3.548000e+01 2.310000e-04 3.610000e-05 3.610000e-05 0.000000e+00 0.000000e+00 3.610000e-05 3.610000e-05
4.467000e+01 4.467000e+01 4.467000e+01 1.390000e-04 2.450000e-05 2.450000e-05 0.000000e+00 0.000000e+00 2.450000e-05 2.450000e-05
5.624000e+01 5.624000e+01 5.624000e+01 6.820000e-05 1.490000e-05 1.490000e-05 0.000000e+00 0.000000e+00 1.490000e-05 1.490000e-05
7.080000e+01 7.080000e+01 7.080000e+01 3.980000e-05 5.800000e-06 5.800000e-06 0.000000e+00 0.000000e+00 5.800000e-06 5.800000e-06
8.912000e+01 8.912000e+01 8.912000e+01 2.470000e-05 4.070000e-06 4.070000e-06 0.000000e+00 0.000000e+00 4.070000e-06 4.070000e-06
1.122000e+02 1.122000e+02 1.122000e+02 1.220000e-05 2.550000e-06 2.550000e-06 0.000000e+00 0.000000e+00 2.550000e-06 2.550000e-06
1.413000e+02 1.413000e+02 1.413000e+02 5.460000e-06 1.510000e-06 1.510000e-06 0.000000e+00 0.000000e+00 1.510000e-06 1.510000e-06
1.778000e+02 1.778000e+02 1.778000e+02 3.000000e-06 9.670000e-07 1.330000e-06 0.000000e+00 0.000000e+00 9.670000e-07 1.330000e-06
2.512000e+02 2.512000e+02 2.512000e+02 1.530000e-06 4.230000e-07 4.230000e-07 0.000000e+00 0.000000e+00 4.230000e-07 4.230000e-07
3.981100e+02 3.981100e+02 3.981100e+02 4.440000e-07 1.760000e-07 2.650000e-07 0.000000e+00 0.000000e+00 1.760000e-07 2.650000e-07
6.310000e+02 6.310000e+02 6.310000e+02 1.400000e-07 7.610000e-08 1.360000e-07 0.000000e+00 0.000000e+00 7.610000e-08 1.360000e-07
1.122000e+03 1.122000e+03 1.122000e+03 3.460000e-08 2.230000e-08 4.570000e-08 0.000000e+00 0.000000e+00 2.230000e-08 4.570000e-08
