#   Fe  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.000000e-01 8.000000e-01 8.000000e-01 1.911740e-01 6.100280e-03 6.100280e-03 0.000000e+00 0.000000e+00 6.100280e-03 6.100280e-03
1.000000e+00 1.000000e+00 1.000000e+00 1.592930e-01 4.929500e-03 4.929500e-03 0.000000e+00 0.000000e+00 4.929500e-03 4.929500e-03
1.250000e+00 1.250000e+00 1.250000e+00 1.523550e-01 3.932130e-03 3.932130e-03 0.000000e+00 0.000000e+00 3.932130e-03 3.932130e-03
1.600000e+00 1.600000e+00 1.600000e+00 1.104090e-01 2.448750e-03 2.448750e-03 0.000000e+00 0.000000e+00 2.448750e-03 2.448750e-03
2.100000e+00 2.100000e+00 2.100000e+00 7.304100e-02 1.692890e-03 1.692890e-03 0.000000e+00 0.000000e+00 1.692890e-03 1.692890e-03
2.650000e+00 2.650000e+00 2.650000e+00 5.242720e-02 9.776220e-04 9.776220e-04 0.000000e+00 0.000000e+00 9.776220e-04 9.776220e-04
3.350000e+00 3.350000e+00 3.350000e+00 3.520850e-02 6.298390e-04 6.298390e-04 0.000000e+00 0.000000e+00 6.298390e-04 6.298390e-04
4.300000e+00 4.300000e+00 4.300000e+00 2.395800e-02 4.489950e-04 4.489950e-04 0.000000e+00 0.000000e+00 4.489950e-04 4.489950e-04
5.600000e+00 5.600000e+00 5.600000e+00 1.486320e-02 2.913180e-04 2.913180e-04 0.000000e+00 0.000000e+00 2.913180e-04 2.913180e-04
7.500000e+00 7.500000e+00 7.500000e+00 7.825600e-03 2.375130e-04 2.375130e-04 0.000000e+00 0.000000e+00 2.375130e-04 2.375130e-04
1.060000e+01 1.060000e+01 1.060000e+01 3.619000e-03 8.241010e-05 8.241010e-05 0.000000e+00 0.000000e+00 8.241010e-05 8.241010e-05
1.620000e+01 1.620000e+01 1.620000e+01 1.331360e-03 5.412650e-05 5.412650e-05 0.000000e+00 0.000000e+00 5.412650e-05 5.412650e-05
3.500000e+01 3.500000e+01 3.500000e+01 1.761500e-04 2.726440e-05 2.726440e-05 0.000000e+00 0.000000e+00 2.726440e-05 2.726440e-05
