#   Fe  TRACER03(2003/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
9.000000e-01 8.000000e-01 1.000000e+00 2.210000e-01 5.000000e-03 5.000000e-03 0.000000e+00 0.000000e+00 5.000000e-03 5.000000e-03
1.100000e+00 1.000000e+00 1.300000e+00 1.650000e-01 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
1.500000e+00 1.300000e+00 1.800000e+00 1.020000e-01 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
2.000000e+00 1.800000e+00 2.300000e+00 6.200000e-02 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
1.600000e+01 1.200000e+01 2.300000e+01 1.220000e-03 2.000000e-05 2.000000e-05 0.000000e+00 0.000000e+00 2.000000e-05 2.000000e-05
3.000000e+01 2.300000e+01 4.100000e+01 2.800000e-04 4.000000e-06 4.000000e-06 0.000000e+00 0.000000e+00 4.000000e-06 4.000000e-06
6.000000e+01 4.100000e+01 9.200000e+01 4.700000e-05 1.000000e-06 1.000000e-06 0.000000e+00 0.000000e+00 1.000000e-06 1.000000e-06
1.830000e+02 9.200000e+01 4.120000e+02 1.900000e-06 1.000000e-07 1.000000e-07 0.000000e+00 0.000000e+00 1.000000e-07 1.000000e-07
5.660000e+02 5.290000e+02 6.060000e+02 1.300000e-07 4.000000e-08 6.000000e-08 0.000000e+00 0.000000e+00 4.000000e-08 6.000000e-08
7.330000e+02 6.060000e+02 8.950000e+02 5.200000e-08 1.500000e-08 1.500000e-08 0.000000e+00 0.000000e+00 1.500000e-08 1.500000e-08
1.421000e+03 8.950000e+02 1.000000e+04 7.400000e-09 2.200000e-09 2.200000e-09 0.000000e+00 0.000000e+00 2.200000e-09 2.200000e-09
