#   N  Balloon(1977/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.800000e-01 2.700000e-01 3.000000e-01 1.410000e+00 4.300000e-02 4.300000e-02 0.000000e+00 0.000000e+00 4.300000e-02 4.300000e-02
3.200000e-01 3.000000e-01 3.400000e-01 1.470000e+00 4.900000e-02 4.900000e-02 0.000000e+00 0.000000e+00 4.900000e-02 4.900000e-02
3.600000e-01 3.400000e-01 3.800000e-01 1.450000e+00 4.400000e-02 4.400000e-02 0.000000e+00 0.000000e+00 4.400000e-02 4.400000e-02
4.000000e-01 3.800000e-01 4.100000e-01 1.410000e+00 4.300000e-02 4.300000e-02 0.000000e+00 0.000000e+00 4.300000e-02 4.300000e-02
4.200000e-01 4.100000e-01 4.400000e-01 1.360000e+00 4.200000e-02 4.200000e-02 0.000000e+00 0.000000e+00 4.200000e-02 4.200000e-02
4.700000e-01 4.400000e-01 4.800000e-01 1.380000e+00 4.200000e-02 4.200000e-02 0.000000e+00 0.000000e+00 4.200000e-02 4.200000e-02
5.000000e-01 4.800000e-01 5.100000e-01 1.370000e+00 3.800000e-02 3.800000e-02 0.000000e+00 0.000000e+00 3.800000e-02 3.800000e-02
5.400000e-01 5.100000e-01 5.600000e-01 1.290000e+00 3.700000e-02 3.700000e-02 0.000000e+00 0.000000e+00 3.700000e-02 3.700000e-02
5.800000e-01 5.600000e-01 6.000000e-01 1.190000e+00 3.700000e-02 3.700000e-02 0.000000e+00 0.000000e+00 3.700000e-02 3.700000e-02
6.200000e-01 6.000000e-01 6.400000e-01 1.070000e+00 3.600000e-02 3.600000e-02 0.000000e+00 0.000000e+00 3.600000e-02 3.600000e-02
6.700000e-01 6.400000e-01 6.900000e-01 1.020000e+00 5.200000e-02 5.200000e-02 0.000000e+00 0.000000e+00 5.200000e-02 5.200000e-02
7.400000e-01 6.900000e-01 8.100000e-01 9.200000e-01 3.700000e-02 3.700000e-02 0.000000e+00 0.000000e+00 3.700000e-02 3.700000e-02
8.500000e-01 8.100000e-01 8.900000e-01 7.600000e-01 3.300000e-02 3.300000e-02 0.000000e+00 0.000000e+00 3.300000e-02 3.300000e-02
9.400000e-01 8.900000e-01 1.010000e+00 7.100000e-01 2.700000e-02 2.700000e-02 0.000000e+00 0.000000e+00 2.700000e-02 2.700000e-02
1.090000e+00 1.010000e+00 1.190000e+00 5.600000e-01 2.200000e-02 2.200000e-02 0.000000e+00 0.000000e+00 2.200000e-02 2.200000e-02
1.270000e+00 1.190000e+00 1.380000e+00 4.400000e-01 1.700000e-02 1.700000e-02 0.000000e+00 0.000000e+00 1.700000e-02 1.700000e-02
1.470000e+00 1.380000e+00 1.610000e+00 3.700000e-01 1.600000e-02 1.600000e-02 0.000000e+00 0.000000e+00 1.600000e-02 1.600000e-02
1.770000e+00 1.610000e+00 1.930000e+00 2.400000e-01 1.100000e-02 1.100000e-02 0.000000e+00 0.000000e+00 1.100000e-02 1.100000e-02
