#   N  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 6.200000e-01 6.200000e-01 8.435350e-01 2.255350e-02 2.255350e-02 0.000000e+00 0.000000e+00 2.255350e-02 2.255350e-02
8.000000e-01 8.000000e-01 8.000000e-01 6.939130e-01 1.622020e-02 1.622020e-02 0.000000e+00 0.000000e+00 1.622020e-02 1.622020e-02
1.000000e+00 1.000000e+00 1.000000e+00 5.349950e-01 1.294910e-02 1.294910e-02 0.000000e+00 0.000000e+00 1.294910e-02 1.294910e-02
1.250000e+00 1.250000e+00 1.250000e+00 4.524030e-01 9.821020e-03 9.821020e-03 0.000000e+00 0.000000e+00 9.821020e-03 9.821020e-03
1.600000e+00 1.600000e+00 1.600000e+00 3.304640e-01 6.474180e-03 6.474180e-03 0.000000e+00 0.000000e+00 6.474180e-03 6.474180e-03
2.100000e+00 2.100000e+00 2.100000e+00 2.195750e-01 4.412850e-03 4.412850e-03 0.000000e+00 0.000000e+00 4.412850e-03 4.412850e-03
2.650000e+00 2.650000e+00 2.650000e+00 1.406660e-01 2.260440e-03 2.260440e-03 0.000000e+00 0.000000e+00 2.260440e-03 2.260440e-03
3.350000e+00 3.350000e+00 3.350000e+00 9.162250e-02 1.463100e-03 1.463100e-03 0.000000e+00 0.000000e+00 1.463100e-03 1.463100e-03
4.300000e+00 4.300000e+00 4.300000e+00 5.926800e-02 1.016190e-03 1.016190e-03 0.000000e+00 0.000000e+00 1.016190e-03 1.016190e-03
5.600000e+00 5.600000e+00 5.600000e+00 3.330360e-02 6.177720e-04 6.177720e-04 0.000000e+00 0.000000e+00 6.177720e-04 6.177720e-04
7.500000e+00 7.500000e+00 7.500000e+00 1.714040e-02 5.065060e-04 5.065060e-04 0.000000e+00 0.000000e+00 5.065060e-04 5.065060e-04
1.060000e+01 1.060000e+01 1.060000e+01 7.195230e-03 1.566390e-04 1.566390e-04 0.000000e+00 0.000000e+00 1.566390e-04 1.566390e-04
1.620000e+01 1.620000e+01 1.620000e+01 2.135900e-03 8.744670e-05 8.744670e-05 0.000000e+00 0.000000e+00 8.744670e-05 8.744670e-05
3.500000e+01 3.500000e+01 3.500000e+01 2.260700e-04 3.501270e-05 3.501270e-05 0.000000e+00 0.000000e+00 3.501270e-05 3.501270e-05
