#   O  Balloon(1977/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.100000e-01 3.000000e-01 3.400000e-01 4.860000e+00 2.140000e-01 2.140000e-01 0.000000e+00 0.000000e+00 2.140000e-01 2.140000e-01
3.600000e-01 3.400000e-01 3.700000e-01 4.840000e+00 2.120000e-01 2.120000e-01 0.000000e+00 0.000000e+00 2.120000e-01 2.120000e-01
3.900000e-01 3.700000e-01 4.200000e-01 4.710000e+00 2.200000e-01 2.200000e-01 0.000000e+00 0.000000e+00 2.200000e-01 2.200000e-01
4.400000e-01 4.200000e-01 4.700000e-01 4.540000e+00 1.990000e-01 1.990000e-01 0.000000e+00 0.000000e+00 1.990000e-01 1.990000e-01
4.900000e-01 4.700000e-01 5.200000e-01 4.280000e+00 1.540000e-01 1.540000e-01 0.000000e+00 0.000000e+00 1.540000e-01 1.540000e-01
5.400000e-01 5.200000e-01 5.600000e-01 4.110000e+00 1.580000e-01 1.580000e-01 0.000000e+00 0.000000e+00 1.580000e-01 1.580000e-01
5.800000e-01 5.600000e-01 6.000000e-01 3.870000e+00 1.700000e-01 1.700000e-01 0.000000e+00 0.000000e+00 1.700000e-01 1.700000e-01
6.300000e-01 6.000000e-01 6.500000e-01 3.500000e+00 1.080000e-01 1.080000e-01 0.000000e+00 0.000000e+00 1.080000e-01 1.080000e-01
6.800000e-01 6.500000e-01 7.000000e-01 3.300000e+00 1.270000e-01 1.270000e-01 0.000000e+00 0.000000e+00 1.270000e-01 1.270000e-01
7.500000e-01 7.000000e-01 8.000000e-01 2.790000e+00 1.150000e-01 1.150000e-01 0.000000e+00 0.000000e+00 1.150000e-01 1.150000e-01
8.500000e-01 8.000000e-01 9.000000e-01 2.460000e+00 9.500000e-02 9.500000e-02 0.000000e+00 0.000000e+00 9.500000e-02 9.500000e-02
9.500000e-01 9.000000e-01 1.000000e+00 2.190000e+00 7.900000e-02 7.900000e-02 0.000000e+00 0.000000e+00 7.900000e-02 7.900000e-02
1.090000e+00 1.000000e+00 1.200000e+00 1.830000e+00 9.000000e-02 9.000000e-02 0.000000e+00 0.000000e+00 9.000000e-02 9.000000e-02
1.290000e+00 1.200000e+00 1.380000e+00 1.460000e+00 6.400000e-02 6.400000e-02 0.000000e+00 0.000000e+00 6.400000e-02 6.400000e-02
1.480000e+00 1.380000e+00 1.610000e+00 1.070000e+00 5.300000e-02 5.300000e-02 0.000000e+00 0.000000e+00 5.300000e-02 5.300000e-02
1.770000e+00 1.610000e+00 2.000000e+00 7.700000e-01 4.000000e-02 4.000000e-02 0.000000e+00 0.000000e+00 4.000000e-02 4.000000e-02
2.250000e+00 2.000000e+00 2.460000e+00 5.100000e-01 2.300000e-02 2.300000e-02 0.000000e+00 0.000000e+00 2.300000e-02 2.300000e-02
2.750000e+00 2.460000e+00 2.960000e+00 3.500000e-01 1.500000e-02 1.500000e-02 0.000000e+00 0.000000e+00 1.500000e-02 1.500000e-02
