#   O  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 6.200000e-01 6.200000e-01 2.695000e+00 4.200000e-02 4.200000e-02 0.000000e+00 0.000000e+00 4.200000e-02 4.200000e-02
8.000000e-01 8.000000e-01 8.000000e-01 2.205000e+00 3.500000e-02 3.500000e-02 0.000000e+00 0.000000e+00 3.500000e-02 3.500000e-02
1.000000e+00 1.000000e+00 1.000000e+00 1.675000e+00 3.000000e-02 3.000000e-02 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02
1.250000e+00 1.250000e+00 1.250000e+00 1.504000e+00 2.500000e-02 2.500000e-02 0.000000e+00 0.000000e+00 2.500000e-02 2.500000e-02
1.600000e+00 1.600000e+00 1.600000e+00 1.091000e+00 1.800000e-02 1.800000e-02 0.000000e+00 0.000000e+00 1.800000e-02 1.800000e-02
2.100000e+00 2.100000e+00 2.100000e+00 7.530000e-01 1.300000e-02 1.300000e-02 0.000000e+00 0.000000e+00 1.300000e-02 1.300000e-02
2.650000e+00 2.650000e+00 2.650000e+00 4.960000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
3.350000e+00 3.350000e+00 3.350000e+00 3.350000e-01 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
4.300000e+00 4.300000e+00 4.300000e+00 2.200000e-01 3.000000e-03 3.000000e-03 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03
5.600000e+00 5.600000e+00 5.600000e+00 1.320000e-01 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
7.500000e+00 7.500000e+00 7.500000e+00 7.300000e-02 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
1.060000e+01 1.060000e+01 1.060000e+01 3.290000e-02 6.000000e-04 6.000000e-04 0.000000e+00 0.000000e+00 6.000000e-04 6.000000e-04
1.620000e+01 1.620000e+01 1.620000e+01 1.060000e-02 4.000000e-04 4.000000e-04 0.000000e+00 0.000000e+00 4.000000e-04 4.000000e-04
3.500000e+01 3.500000e+01 3.500000e+01 1.300000e-03 2.000000e-04 2.000000e-04 0.000000e+00 0.000000e+00 2.000000e-04 2.000000e-04
