#   O  OGO5(1968/03-1968/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.500000e-02 2.500000e-02 2.500000e-02 2.030000e+00 8.300000e-01 8.300000e-01 0.000000e+00 0.000000e+00 8.300000e-01 8.300000e-01
7.200000e-02 7.200000e-02 7.200000e-02 1.710000e+00 2.300000e-01 2.300000e-01 0.000000e+00 0.000000e+00 2.300000e-01 2.300000e-01
1.060000e-01 1.060000e-01 1.060000e-01 2.110000e+00 3.500000e-01 3.500000e-01 0.000000e+00 0.000000e+00 3.500000e-01 3.500000e-01
1.340000e-01 1.340000e-01 1.340000e-01 2.310000e+00 3.200000e-01 3.200000e-01 0.000000e+00 0.000000e+00 3.200000e-01 3.200000e-01
1.630000e-01 1.630000e-01 1.630000e-01 2.130000e+00 3.100000e-01 3.100000e-01 0.000000e+00 0.000000e+00 3.100000e-01 3.100000e-01
2.670000e-01 2.670000e-01 2.670000e-01 3.790000e+00 5.200000e-01 5.200000e-01 0.000000e+00 0.000000e+00 5.200000e-01 5.200000e-01
3.140000e-01 3.140000e-01 3.140000e-01 3.170000e+00 4.100000e-01 4.100000e-01 0.000000e+00 0.000000e+00 4.100000e-01 4.100000e-01
3.850000e-01 3.850000e-01 3.850000e-01 3.560000e+00 4.000000e-01 4.000000e-01 0.000000e+00 0.000000e+00 4.000000e-01 4.000000e-01
4.690000e-01 4.690000e-01 4.690000e-01 3.350000e+00 3.800000e-01 3.800000e-01 0.000000e+00 0.000000e+00 3.800000e-01 3.800000e-01
5.710000e-01 5.710000e-01 5.710000e-01 3.170000e+00 3.600000e-01 3.600000e-01 0.000000e+00 0.000000e+00 3.600000e-01 3.600000e-01
6.650000e-01 6.650000e-01 6.650000e-01 3.940000e+00 4.800000e-01 4.800000e-01 0.000000e+00 0.000000e+00 4.800000e-01 4.800000e-01
7.860000e-01 7.860000e-01 7.860000e-01 4.630000e+00 4.300000e-01 4.300000e-01 0.000000e+00 0.000000e+00 4.300000e-01 4.300000e-01
1.080000e+00 1.080000e+00 1.080000e+00 3.620000e+00 3.400000e-01 3.400000e-01 0.000000e+00 0.000000e+00 3.400000e-01 3.400000e-01
