#   H  AMS01(1998/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.611510e-01 2.200000e-01 3.100000e-01 1.540000e+03 1.600000e+01 1.600000e+01 7.376990e+01 7.376990e+01 7.548509e+01 7.548509e+01
3.693240e-01 3.100000e-01 4.400000e-01 1.560000e+03 9.900000e+00 9.900000e+00 7.220110e+01 7.220110e+01 7.287667e+01 7.287667e+01
5.223030e-01 4.400000e-01 6.200000e-01 1.430000e+03 5.900000e+00 5.900000e+00 7.068240e+01 7.068240e+01 7.092821e+01 7.092821e+01
7.259480e-01 6.200000e-01 8.500000e-01 1.200000e+03 3.900000e+00 3.900000e+00 5.607350e+01 5.607350e+01 5.620896e+01 5.620896e+01
9.886860e-01 8.500000e-01 1.150000e+00 9.660000e+02 2.600000e+00 2.600000e+00 4.460820e+01 4.460820e+01 4.468391e+01 4.468391e+01
1.330790e+00 1.150000e+00 1.540000e+00 7.380000e+02 1.800000e+00 1.800000e+00 3.367510e+01 3.367510e+01 3.372317e+01 3.372317e+01
1.763750e+00 1.540000e+00 2.020000e+00 5.330000e+02 1.200000e+00 1.200000e+00 2.409480e+01 2.409480e+01 2.412466e+01 2.412466e+01
2.300520e+00 2.020000e+00 2.620000e+00 3.720000e+02 8.000000e-01 8.000000e-01 1.680770e+01 1.680770e+01 1.682673e+01 1.682673e+01
2.975840e+00 2.620000e+00 3.380000e+00 2.470000e+02 5.300000e-01 5.300000e-01 1.127520e+01 1.127520e+01 1.128765e+01 1.128765e+01
3.816780e+00 3.380000e+00 4.310000e+00 1.610000e+02 3.300000e-01 3.300000e-01 7.336210e+00 7.336210e+00 7.343628e+00 7.343628e+00
4.846600e+00 4.310000e+00 5.450000e+00 1.010000e+02 2.000000e-01 2.000000e-01 4.587770e+00 4.587770e+00 4.592127e+00 4.592127e+00
6.114490e+00 5.450000e+00 6.860000e+00 6.300000e+01 1.300000e-01 1.300000e-01 2.826730e+00 2.826730e+00 2.829718e+00 2.829718e+00
7.680880e+00 6.860000e+00 8.600000e+00 3.780000e+01 8.400000e-02 8.400000e-02 1.675860e+00 1.675860e+00 1.677964e+00 1.677964e+00
9.592710e+00 8.600000e+00 1.070000e+01 2.260000e+01 5.400000e-02 5.400000e-02 1.033100e+00 1.033100e+00 1.034510e+00 1.034510e+00
1.192940e+01 1.070000e+01 1.330000e+01 1.350000e+01 3.600000e-02 3.600000e-02 6.236990e-01 6.236990e-01 6.247371e-01 6.247371e-01
1.481380e+01 1.330000e+01 1.650000e+01 7.860000e+00 2.300000e-02 2.300000e-02 3.638680e-01 3.638680e-01 3.645942e-01 3.645942e-01
1.839160e+01 1.650000e+01 2.050000e+01 4.490000e+00 1.500000e-02 1.500000e-02 2.129690e-01 2.129690e-01 2.134966e-01 2.134966e-01
2.277390e+01 2.050000e+01 2.530000e+01 2.660000e+00 9.800000e-03 9.800000e-03 1.262730e-01 1.262730e-01 1.266527e-01 1.266527e-01
2.809560e+01 2.530000e+01 3.120000e+01 1.480000e+00 6.100000e-03 6.100000e-03 7.312320e-02 7.312320e-02 7.337719e-02 7.337719e-02
3.461330e+01 3.120000e+01 3.840000e+01 8.560000e-01 4.000000e-03 4.000000e-03 4.276680e-02 4.276680e-02 4.295345e-02 4.295345e-02
4.261830e+01 3.840000e+01 4.730000e+01 4.960000e-01 2.700000e-03 2.700000e-03 2.479190e-02 2.479190e-02 2.493849e-02 2.493849e-02
5.246770e+01 4.730000e+01 5.820000e+01 2.840000e-01 1.800000e-03 1.800000e-03 1.469350e-02 1.469350e-02 1.480334e-02 1.480334e-02
6.450810e+01 5.820000e+01 7.150000e+01 1.540000e-01 1.200000e-03 1.200000e-03 7.947960e-03 7.947960e-03 8.038039e-03 8.038039e-03
7.923190e+01 7.150000e+01 8.780000e+01 8.620000e-02 8.000000e-04 8.000000e-04 4.420410e-03 4.420410e-03 4.492218e-03 4.492218e-03
9.737760e+01 8.780000e+01 1.080000e+02 4.940000e-02 5.500000e-04 5.500000e-04 2.486690e-03 2.486690e-03 2.546788e-03 2.546788e-03
1.193980e+02 1.080000e+02 1.320000e+02 2.900000e-02 4.000000e-04 4.000000e-04 1.740230e-03 1.740230e-03 1.785609e-03 1.785609e-03
1.462330e+02 1.320000e+02 1.620000e+02 1.640000e-02 2.700000e-04 2.700000e-04 1.109280e-03 1.109280e-03 1.141666e-03 1.141666e-03
1.795490e+02 1.620000e+02 1.990000e+02 9.390000e-03 1.800000e-04 1.800000e-04 1.091830e-03 1.091830e-03 1.106568e-03 1.106568e-03
