#   H  ATIC02(2003/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.826200e+01 4.826200e+01 4.826200e+01 3.210000e-01 3.000000e-03 3.000000e-03 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03
7.696201e+01 7.696201e+01 7.696201e+01 8.900000e-02 5.000000e-04 5.000000e-04 0.000000e+00 0.000000e+00 5.000000e-04 5.000000e-04
1.220620e+02 1.220620e+02 1.220620e+02 2.500000e-02 1.000000e-04 1.000000e-04 0.000000e+00 0.000000e+00 1.000000e-04 1.000000e-04
1.950620e+02 1.950620e+02 1.950620e+02 7.070000e-03 5.000000e-05 5.000000e-05 0.000000e+00 0.000000e+00 5.000000e-05 5.000000e-05
3.090620e+02 3.090620e+02 3.090620e+02 2.010000e-03 2.000000e-05 2.000000e-05 0.000000e+00 0.000000e+00 2.000000e-05 2.000000e-05
4.910620e+02 4.910620e+02 4.910620e+02 5.950000e-04 7.000000e-06 7.000000e-06 0.000000e+00 0.000000e+00 7.000000e-06 7.000000e-06
7.780620e+02 7.780620e+02 7.780620e+02 1.780000e-04 3.000000e-06 3.000000e-06 0.000000e+00 0.000000e+00 3.000000e-06 3.000000e-06
1.229062e+03 1.229062e+03 1.229062e+03 5.240000e-05 1.400000e-06 1.400000e-06 0.000000e+00 0.000000e+00 1.400000e-06 1.400000e-06
1.959062e+03 1.959062e+03 1.959062e+03 1.580000e-05 5.000000e-07 5.000000e-07 0.000000e+00 0.000000e+00 5.000000e-07 5.000000e-07
3.099062e+03 3.099062e+03 3.099062e+03 4.830000e-06 2.300000e-07 2.300000e-07 0.000000e+00 0.000000e+00 2.300000e-07 2.300000e-07
4.919062e+03 4.919062e+03 4.919062e+03 1.400000e-06 1.000000e-07 1.000000e-07 0.000000e+00 0.000000e+00 1.000000e-07 1.000000e-07
7.789062e+03 7.789062e+03 7.789062e+03 4.230000e-07 3.900000e-08 3.900000e-08 0.000000e+00 0.000000e+00 3.900000e-08 3.900000e-08
1.229906e+04 1.229906e+04 1.229906e+04 1.370000e-07 1.500000e-08 1.500000e-08 0.000000e+00 0.000000e+00 1.500000e-08 1.500000e-08
1.959906e+04 1.959906e+04 1.959906e+04 3.890000e-08 7.000000e-09 7.000000e-09 0.000000e+00 0.000000e+00 7.000000e-09 7.000000e-09
3.099906e+04 3.099906e+04 3.099906e+04 9.160000e-09 2.480000e-09 2.480000e-09 0.000000e+00 0.000000e+00 2.480000e-09 2.480000e-09
