#   H  BESS98(1998/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.323040e-01 2.150000e-01 2.510000e-01 1.220000e+03 2.000000e+01 2.000000e+01 9.000000e+01 9.000000e+01 9.219544e+01 9.219544e+01
2.711880e-01 2.510000e-01 2.930000e-01 1.290000e+03 2.000000e+01 2.000000e+01 9.000000e+01 9.000000e+01 9.219544e+01 9.219544e+01
3.165530e-01 2.930000e-01 3.420000e-01 1.350000e+03 2.000000e+01 2.000000e+01 9.000000e+01 9.000000e+01 9.219544e+01 9.219544e+01
3.689390e-01 3.420000e-01 3.980000e-01 1.350000e+03 2.000000e+01 2.000000e+01 9.000000e+01 9.000000e+01 9.219544e+01 9.219544e+01
4.297350e-01 3.980000e-01 4.640000e-01 1.330000e+03 2.000000e+01 2.000000e+01 8.000000e+01 8.000000e+01 8.246211e+01 8.246211e+01
5.010230e-01 4.640000e-01 5.410000e-01 1.270000e+03 2.000000e+01 2.000000e+01 8.000000e+01 8.000000e+01 8.246211e+01 8.246211e+01
5.842700e-01 5.410000e-01 6.310000e-01 1.240000e+03 1.000000e+01 1.000000e+01 7.000000e+01 7.000000e+01 7.071068e+01 7.071068e+01
6.814810e-01 6.310000e-01 7.360000e-01 1.160000e+03 1.000000e+01 1.000000e+01 7.000000e+01 7.000000e+01 7.071068e+01 7.071068e+01
7.946620e-01 7.360000e-01 8.580000e-01 1.070000e+03 1.000000e+01 1.000000e+01 6.000000e+01 6.000000e+01 6.082763e+01 6.082763e+01
9.262830e-01 8.580000e-01 1.000000e+00 9.790000e+02 1.000000e+01 1.000000e+01 5.200000e+01 5.200000e+01 5.295281e+01 5.295281e+01
1.081670e+00 1.000000e+00 1.170000e+00 8.670000e+02 9.000000e+00 9.000000e+00 4.600000e+01 4.600000e+01 4.687217e+01 4.687217e+01
1.261430e+00 1.170000e+00 1.360000e+00 7.540000e+02 8.000000e+00 8.000000e+00 4.000000e+01 4.000000e+01 4.079216e+01 4.079216e+01
1.465880e+00 1.360000e+00 1.580000e+00 6.450000e+02 7.000000e+00 7.000000e+00 3.500000e+01 3.500000e+01 3.569314e+01 3.569314e+01
1.709680e+00 1.580000e+00 1.850000e+00 5.440000e+02 6.000000e+00 6.000000e+00 2.900000e+01 2.900000e+01 2.961419e+01 2.961419e+01
1.994370e+00 1.850000e+00 2.150000e+00 4.470000e+02 5.000000e+00 5.000000e+00 2.400000e+01 2.400000e+01 2.451530e+01 2.451530e+01
2.323040e+00 2.150000e+00 2.510000e+00 3.620000e+02 4.000000e+00 4.000000e+00 2.000000e+01 2.000000e+01 2.039608e+01 2.039608e+01
2.711880e+00 2.510000e+00 2.930000e+00 2.900000e+02 3.000000e+00 3.000000e+00 1.600000e+01 1.600000e+01 1.627882e+01 1.627882e+01
3.165530e+00 2.930000e+00 3.420000e+00 2.240000e+02 3.000000e+00 3.000000e+00 1.300000e+01 1.300000e+01 1.334166e+01 1.334166e+01
3.689390e+00 3.420000e+00 3.980000e+00 1.710000e+02 2.000000e+00 2.000000e+00 1.000000e+01 1.000000e+01 1.019804e+01 1.019804e+01
4.297350e+00 3.980000e+00 4.640000e+00 1.270000e+02 2.000000e+00 2.000000e+00 7.000000e+00 7.000000e+00 7.280110e+00 7.280110e+00
5.010230e+00 4.640000e+00 5.410000e+00 9.950000e+01 1.500000e+00 1.500000e+00 5.800000e+00 5.800000e+00 5.990826e+00 5.990826e+00
5.842700e+00 5.410000e+00 6.310000e+00 7.080000e+01 1.200000e+00 1.200000e+00 4.200000e+00 4.200000e+00 4.368066e+00 4.368066e+00
6.814810e+00 6.310000e+00 7.360000e+00 5.010000e+01 2.000000e-01 2.000000e-01 3.000000e+00 3.000000e+00 3.006659e+00 3.006659e+00
7.946620e+00 7.360000e+00 8.580000e+00 3.450000e+01 1.000000e-01 1.000000e-01 2.100000e+00 2.100000e+00 2.102380e+00 2.102380e+00
9.262830e+00 8.580000e+00 1.000000e+01 2.410000e+01 1.000000e-01 1.000000e-01 1.500000e+00 1.500000e+00 1.503330e+00 1.503330e+00
1.081670e+01 1.000000e+01 1.170000e+01 1.650000e+01 1.000000e-01 1.000000e-01 1.000000e+00 1.000000e+00 1.004988e+00 1.004988e+00
1.261430e+01 1.170000e+01 1.360000e+01 1.200000e+01 1.000000e-01 1.000000e-01 7.000000e-01 7.000000e-01 7.071068e-01 7.071068e-01
1.465880e+01 1.360000e+01 1.580000e+01 7.960000e+00 5.000000e-02 5.000000e-02 4.900000e-01 4.900000e-01 4.925444e-01 4.925444e-01
1.709680e+01 1.580000e+01 1.850000e+01 5.610000e+00 4.000000e-02 4.000000e-02 3.400000e-01 3.400000e-01 3.423449e-01 3.423449e-01
1.994370e+01 1.850000e+01 2.150000e+01 3.910000e+00 3.000000e-02 3.000000e-02 2.400000e-01 2.400000e-01 2.418677e-01 2.418677e-01
2.320000e+01 2.150000e+01 2.510000e+01 2.510000e+00 2.000000e-02 2.000000e-02 1.000000e-01 1.000000e-01 1.019804e-01 1.019804e-01
2.710000e+01 2.510000e+01 2.930000e+01 1.670000e+00 1.000000e-02 1.000000e-02 7.000000e-02 7.000000e-02 7.071068e-02 7.071068e-02
3.150000e+01 2.930000e+01 3.410000e+01 1.100000e+00 1.000000e-02 1.000000e-02 5.000000e-02 5.000000e-02 5.099020e-02 5.099020e-02
3.680000e+01 3.410000e+01 3.980000e+01 7.350000e-01 8.000000e-03 8.000000e-03 3.100000e-02 3.100000e-02 3.201562e-02 3.201562e-02
4.290000e+01 3.980000e+01 4.640000e+01 4.870000e-01 6.000000e-03 6.000000e-03 2.000000e-02 2.000000e-02 2.088061e-02 2.088061e-02
5.000000e+01 4.640000e+01 5.410000e+01 3.220000e-01 5.000000e-03 5.000000e-03 1.400000e-02 1.400000e-02 1.486607e-02 1.486607e-02
5.830000e+01 5.410000e+01 6.310000e+01 2.100000e-01 4.000000e-03 4.000000e-03 9.000000e-03 9.000000e-03 9.848858e-03 9.848858e-03
6.790000e+01 6.310000e+01 7.360000e+01 1.360000e-01 3.000000e-03 3.000000e-03 6.000000e-03 6.000000e-03 6.708204e-03 6.708204e-03
7.930000e+01 7.360000e+01 8.580000e+01 9.170000e-02 2.000000e-03 2.000000e-03 3.900000e-03 3.900000e-03 4.382921e-03 4.382921e-03
9.260000e+01 8.580000e+01 1.000000e+02 6.080000e-02 1.500000e-03 1.500000e-03 2.600000e-03 2.600000e-03 3.001666e-03 3.001666e-03
1.080000e+02 1.000000e+02 1.170000e+02 4.000000e-02 1.200000e-03 1.200000e-03 1.700000e-03 1.700000e-03 2.080865e-03 2.080865e-03
