#   H  BESS-TeV(2002/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.323040e-01 2.150000e-01 2.510000e-01 2.220000e+02 6.000000e+00 6.000000e+00 1.700000e+01 1.700000e+01 1.802776e+01 1.802776e+01
2.711880e-01 2.510000e-01 2.930000e-01 2.550000e+02 5.000000e+00 5.000000e+00 1.700000e+01 1.700000e+01 1.772005e+01 1.772005e+01
3.165530e-01 2.930000e-01 3.420000e-01 2.810000e+02 5.000000e+00 5.000000e+00 1.700000e+01 1.700000e+01 1.772005e+01 1.772005e+01
3.689390e-01 3.420000e-01 3.980000e-01 3.040000e+02 5.000000e+00 5.000000e+00 1.600000e+01 1.600000e+01 1.676305e+01 1.676305e+01
4.297350e-01 3.980000e-01 4.640000e-01 3.210000e+02 5.000000e+00 5.000000e+00 1.600000e+01 1.600000e+01 1.676305e+01 1.676305e+01
5.010230e-01 4.640000e-01 5.410000e-01 3.280000e+02 4.000000e+00 4.000000e+00 1.500000e+01 1.500000e+01 1.552417e+01 1.552417e+01
5.842700e-01 5.410000e-01 6.310000e-01 3.510000e+02 4.000000e+00 4.000000e+00 1.400000e+01 1.400000e+01 1.456022e+01 1.456022e+01
6.814810e-01 6.310000e-01 7.360000e-01 3.520000e+02 4.000000e+00 4.000000e+00 1.300000e+01 1.300000e+01 1.360147e+01 1.360147e+01
7.946620e-01 7.360000e-01 8.580000e-01 3.460000e+02 4.000000e+00 4.000000e+00 1.200000e+01 1.200000e+01 1.264911e+01 1.264911e+01
9.262830e-01 8.580000e-01 1.000000e+00 3.370000e+02 3.000000e+00 3.000000e+00 1.100000e+01 1.100000e+01 1.140175e+01 1.140175e+01
1.081670e+00 1.000000e+00 1.170000e+00 3.280000e+02 3.000000e+00 3.000000e+00 1.100000e+01 1.100000e+01 1.140175e+01 1.140175e+01
1.261430e+00 1.170000e+00 1.360000e+00 3.050000e+02 3.000000e+00 3.000000e+00 1.000000e+01 1.000000e+01 1.044031e+01 1.044031e+01
1.465880e+00 1.360000e+00 1.580000e+00 2.870000e+02 3.000000e+00 3.000000e+00 9.000000e+00 9.000000e+00 9.486833e+00 9.486833e+00
1.709680e+00 1.580000e+00 1.850000e+00 2.640000e+02 2.000000e+00 2.000000e+00 8.000000e+00 8.000000e+00 8.246211e+00 8.246211e+00
1.994370e+00 1.850000e+00 2.150000e+00 2.360000e+02 2.000000e+00 2.000000e+00 7.000000e+00 7.000000e+00 7.280110e+00 7.280110e+00
2.323040e+00 2.150000e+00 2.510000e+00 2.050000e+02 2.000000e+00 2.000000e+00 6.000000e+00 6.000000e+00 6.324555e+00 6.324555e+00
2.711880e+00 2.510000e+00 2.930000e+00 1.720000e+02 1.000000e+00 1.000000e+00 5.000000e+00 5.000000e+00 5.099020e+00 5.099020e+00
3.165530e+00 2.930000e+00 3.420000e+00 1.430000e+02 1.000000e+00 1.000000e+00 4.000000e+00 4.000000e+00 4.123106e+00 4.123106e+00
3.689390e+00 3.420000e+00 3.980000e+00 1.170000e+02 1.000000e+00 1.000000e+00 3.000000e+00 3.000000e+00 3.162278e+00 3.162278e+00
4.297350e+00 3.980000e+00 4.640000e+00 9.340000e+01 9.000000e-01 9.000000e-01 2.700000e+00 2.700000e+00 2.846050e+00 2.846050e+00
5.010230e+00 4.640000e+00 5.410000e+00 7.300000e+01 7.000000e-01 7.000000e-01 2.100000e+00 2.100000e+00 2.213594e+00 2.213594e+00
5.842700e+00 5.410000e+00 6.310000e+00 5.590000e+01 6.000000e-01 6.000000e-01 1.600000e+00 1.600000e+00 1.708801e+00 1.708801e+00
6.814810e+00 6.310000e+00 7.360000e+00 4.300000e+01 5.000000e-01 5.000000e-01 1.200000e+00 1.200000e+00 1.300000e+00 1.300000e+00
