#   H  SOKOL(1984/03-1986/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.850000e+03 2.850000e+03 2.850000e+03 7.840000e-06 5.770000e-07 5.770000e-07 0.000000e+00 0.000000e+00 5.770000e-07 5.770000e-07
3.600000e+03 3.600000e+03 3.600000e+03 2.640000e-06 2.220000e-07 2.220000e-07 0.000000e+00 0.000000e+00 2.220000e-07 2.220000e-07
4.500000e+03 4.500000e+03 4.500000e+03 1.880000e-06 1.210000e-07 1.210000e-07 0.000000e+00 0.000000e+00 1.210000e-07 1.210000e-07
7.100000e+03 7.100000e+03 7.100000e+03 5.770000e-07 3.530000e-08 3.530000e-08 0.000000e+00 0.000000e+00 3.530000e-08 3.530000e-08
1.300000e+04 1.300000e+04 1.300000e+04 6.230000e-08 1.140000e-08 1.140000e-08 0.000000e+00 0.000000e+00 1.140000e-08 1.140000e-08
1.400000e+04 1.400000e+04 1.400000e+04 7.800000e-08 1.500000e-08 1.500000e-08 0.000000e+00 0.000000e+00 1.500000e-08 1.500000e-08
1.800000e+04 1.800000e+04 1.800000e+04 1.700000e-08 4.600000e-09 4.600000e-09 0.000000e+00 0.000000e+00 4.600000e-09 4.600000e-09
2.600000e+04 2.600000e+04 2.600000e+04 1.120000e-08 2.940000e-09 2.940000e-09 0.000000e+00 0.000000e+00 2.940000e-09 2.940000e-09
2.800000e+04 2.800000e+04 2.800000e+04 1.060000e-08 2.970000e-09 2.970000e-09 0.000000e+00 0.000000e+00 2.970000e-09 2.970000e-09
4.200000e+04 4.200000e+04 4.200000e+04 2.710000e-09 9.400000e-10 9.400000e-10 0.000000e+00 0.000000e+00 9.400000e-10 9.400000e-10
7.400000e+04 7.400000e+04 7.400000e+04 7.590000e-10 3.560000e-10 3.560000e-10 0.000000e+00 0.000000e+00 3.560000e-10 3.560000e-10
8.500000e+04 8.500000e+04 8.500000e+04 4.890000e-10 2.660000e-10 2.660000e-10 0.000000e+00 0.000000e+00 2.660000e-10 2.660000e-10
1.700000e+05 1.700000e+05 1.700000e+05 8.060000e-11 7.220000e-11 8.060000e-11 0.000000e+00 0.000000e+00 7.220000e-11 8.060000e-11
