#   H  AMS01(1998/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.199147e+00 1.157996e+00 1.247996e+00 1.540000e+03 1.600000e+01 1.600000e+01 7.376990e+01 7.376990e+01 7.548509e+01 7.548509e+01
1.307320e+00 1.247996e+00 1.377996e+00 1.560000e+03 9.900000e+00 9.900000e+00 7.220110e+01 7.220110e+01 7.287667e+01 7.287667e+01
1.460299e+00 1.377996e+00 1.557996e+00 1.430000e+03 5.900000e+00 5.900000e+00 7.068240e+01 7.068240e+01 7.092821e+01 7.092821e+01
1.663944e+00 1.557996e+00 1.787996e+00 1.200000e+03 3.900000e+00 3.900000e+00 5.607350e+01 5.607350e+01 5.620896e+01 5.620896e+01
1.926682e+00 1.787996e+00 2.087996e+00 9.660000e+02 2.600000e+00 2.600000e+00 4.460820e+01 4.460820e+01 4.468391e+01 4.468391e+01
2.268786e+00 2.087996e+00 2.477996e+00 7.380000e+02 1.800000e+00 1.800000e+00 3.367510e+01 3.367510e+01 3.372317e+01 3.372317e+01
2.701746e+00 2.477996e+00 2.957996e+00 5.330000e+02 1.200000e+00 1.200000e+00 2.409480e+01 2.409480e+01 2.412466e+01 2.412466e+01
3.238516e+00 2.957996e+00 3.557996e+00 3.720000e+02 8.000000e-01 8.000000e-01 1.680770e+01 1.680770e+01 1.682673e+01 1.682673e+01
3.913836e+00 3.557996e+00 4.317996e+00 2.470000e+02 5.300000e-01 5.300000e-01 1.127520e+01 1.127520e+01 1.128765e+01 1.128765e+01
4.754776e+00 4.317996e+00 5.247996e+00 1.610000e+02 3.300000e-01 3.300000e-01 7.336210e+00 7.336210e+00 7.343628e+00 7.343628e+00
5.784596e+00 5.247996e+00 6.387996e+00 1.010000e+02 2.000000e-01 2.000000e-01 4.587770e+00 4.587770e+00 4.592127e+00 4.592127e+00
7.052486e+00 6.387996e+00 7.797996e+00 6.300000e+01 1.300000e-01 1.300000e-01 2.826730e+00 2.826730e+00 2.829718e+00 2.829718e+00
8.618876e+00 7.797996e+00 9.537996e+00 3.780000e+01 8.400000e-02 8.400000e-02 1.675860e+00 1.675860e+00 1.677964e+00 1.677964e+00
1.053071e+01 9.537996e+00 1.163800e+01 2.260000e+01 5.400000e-02 5.400000e-02 1.033100e+00 1.033100e+00 1.034510e+00 1.034510e+00
1.286740e+01 1.163800e+01 1.423800e+01 1.350000e+01 3.600000e-02 3.600000e-02 6.236990e-01 6.236990e-01 6.247371e-01 6.247371e-01
1.575180e+01 1.423800e+01 1.743800e+01 7.860000e+00 2.300000e-02 2.300000e-02 3.638680e-01 3.638680e-01 3.645942e-01 3.645942e-01
1.932960e+01 1.743800e+01 2.143800e+01 4.490000e+00 1.500000e-02 1.500000e-02 2.129690e-01 2.129690e-01 2.134966e-01 2.134966e-01
2.371189e+01 2.143800e+01 2.623800e+01 2.660000e+00 9.800000e-03 9.800000e-03 1.262730e-01 1.262730e-01 1.266527e-01 1.266527e-01
2.903360e+01 2.623800e+01 3.213800e+01 1.480000e+00 6.100000e-03 6.100000e-03 7.312320e-02 7.312320e-02 7.337719e-02 7.337719e-02
3.555130e+01 3.213800e+01 3.933800e+01 8.560000e-01 4.000000e-03 4.000000e-03 4.276680e-02 4.276680e-02 4.295345e-02 4.295345e-02
4.355630e+01 3.933800e+01 4.823800e+01 4.960000e-01 2.700000e-03 2.700000e-03 2.479190e-02 2.479190e-02 2.493849e-02 2.493849e-02
5.340570e+01 4.823800e+01 5.913800e+01 2.840000e-01 1.800000e-03 1.800000e-03 1.469350e-02 1.469350e-02 1.480334e-02 1.480334e-02
6.544610e+01 5.913800e+01 7.243800e+01 1.540000e-01 1.200000e-03 1.200000e-03 7.947960e-03 7.947960e-03 8.038039e-03 8.038039e-03
8.016990e+01 7.243800e+01 8.873800e+01 8.620000e-02 8.000000e-04 8.000000e-04 4.420410e-03 4.420410e-03 4.492218e-03 4.492218e-03
9.831560e+01 8.873800e+01 1.089380e+02 4.940000e-02 5.500000e-04 5.500000e-04 2.486690e-03 2.486690e-03 2.546788e-03 2.546788e-03
1.203360e+02 1.089380e+02 1.329380e+02 2.900000e-02 4.000000e-04 4.000000e-04 1.740230e-03 1.740230e-03 1.785609e-03 1.785609e-03
1.471710e+02 1.329380e+02 1.629380e+02 1.640000e-02 2.700000e-04 2.700000e-04 1.109280e-03 1.109280e-03 1.141666e-03 1.141666e-03
1.804870e+02 1.629380e+02 1.999380e+02 9.390000e-03 1.800000e-04 1.800000e-04 1.091830e-03 1.091830e-03 1.106568e-03 1.106568e-03
