#   H  BESS00(2000/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.170300e+00 1.152996e+00 1.188996e+00 1.690000e+02 4.000000e+00 4.000000e+00 1.800000e+01 1.800000e+01 1.843909e+01 1.843909e+01
1.209184e+00 1.188996e+00 1.230996e+00 1.920000e+02 4.000000e+00 4.000000e+00 1.800000e+01 1.800000e+01 1.843909e+01 1.843909e+01
1.254549e+00 1.230996e+00 1.279996e+00 2.060000e+02 4.000000e+00 4.000000e+00 1.700000e+01 1.700000e+01 1.746425e+01 1.746425e+01
1.306935e+00 1.279996e+00 1.335996e+00 2.130000e+02 4.000000e+00 4.000000e+00 1.700000e+01 1.700000e+01 1.746425e+01 1.746425e+01
1.367731e+00 1.335996e+00 1.401996e+00 2.320000e+02 4.000000e+00 4.000000e+00 1.700000e+01 1.700000e+01 1.746425e+01 1.746425e+01
1.439019e+00 1.401996e+00 1.478996e+00 2.330000e+02 4.000000e+00 4.000000e+00 1.600000e+01 1.600000e+01 1.649242e+01 1.649242e+01
1.522266e+00 1.478996e+00 1.568996e+00 2.430000e+02 4.000000e+00 4.000000e+00 1.600000e+01 1.600000e+01 1.649242e+01 1.649242e+01
1.619477e+00 1.568996e+00 1.673996e+00 2.460000e+02 4.000000e+00 4.000000e+00 1.600000e+01 1.600000e+01 1.649242e+01 1.649242e+01
1.732658e+00 1.673996e+00 1.795996e+00 2.480000e+02 3.000000e+00 3.000000e+00 1.500000e+01 1.500000e+01 1.529706e+01 1.529706e+01
1.864279e+00 1.795996e+00 1.937996e+00 2.490000e+02 3.000000e+00 3.000000e+00 1.400000e+01 1.400000e+01 1.431782e+01 1.431782e+01
2.019666e+00 1.937996e+00 2.107996e+00 2.390000e+02 3.000000e+00 3.000000e+00 1.300000e+01 1.300000e+01 1.334166e+01 1.334166e+01
2.199426e+00 2.107996e+00 2.297996e+00 2.340000e+02 3.000000e+00 3.000000e+00 1.300000e+01 1.300000e+01 1.334166e+01 1.334166e+01
2.403876e+00 2.297996e+00 2.517996e+00 2.120000e+02 2.000000e+00 2.000000e+00 1.200000e+01 1.200000e+01 1.216553e+01 1.216553e+01
2.647676e+00 2.517996e+00 2.787996e+00 1.980000e+02 2.000000e+00 2.000000e+00 1.100000e+01 1.100000e+01 1.118034e+01 1.118034e+01
2.932366e+00 2.787996e+00 3.087996e+00 1.770000e+02 2.000000e+00 2.000000e+00 1.000000e+01 1.000000e+01 1.019804e+01 1.019804e+01
3.261036e+00 3.087996e+00 3.447996e+00 1.550000e+02 2.000000e+00 2.000000e+00 9.000000e+00 9.000000e+00 9.219544e+00 9.219544e+00
3.649876e+00 3.447996e+00 3.867996e+00 1.340000e+02 1.000000e+00 1.000000e+00 8.000000e+00 8.000000e+00 8.062258e+00 8.062258e+00
4.103526e+00 3.867996e+00 4.357996e+00 1.140000e+02 1.000000e+00 1.000000e+00 7.000000e+00 7.000000e+00 7.071068e+00 7.071068e+00
4.627386e+00 4.357996e+00 4.917996e+00 9.550000e+01 1.100000e+00 1.100000e+00 5.500000e+00 5.500000e+00 5.608921e+00 5.608921e+00
5.235346e+00 4.917996e+00 5.577996e+00 7.750000e+01 9.000000e-01 9.000000e-01 4.500000e+00 4.500000e+00 4.589118e+00 4.589118e+00
5.948226e+00 5.577996e+00 6.347996e+00 6.240000e+01 7.000000e-01 7.000000e-01 3.700000e+00 3.700000e+00 3.765634e+00 3.765634e+00
6.780696e+00 6.347996e+00 7.247996e+00 4.970000e+01 6.000000e-01 6.000000e-01 2.900000e+00 2.900000e+00 2.961419e+00 2.961419e+00
7.752806e+00 7.247996e+00 8.297996e+00 3.740000e+01 2.000000e-01 2.000000e-01 2.200000e+00 2.200000e+00 2.209072e+00 2.209072e+00
8.884616e+00 8.297996e+00 9.517996e+00 2.700000e+01 1.000000e-01 1.000000e-01 1.600000e+00 1.600000e+00 1.603122e+00 1.603122e+00
1.020083e+01 9.517996e+00 1.093800e+01 2.040000e+01 1.000000e-01 1.000000e-01 1.200000e+00 1.200000e+00 1.204159e+00 1.204159e+00
1.175470e+01 1.093800e+01 1.263800e+01 1.420000e+01 1.000000e-01 1.000000e-01 9.000000e-01 9.000000e-01 9.055385e-01 9.055385e-01
1.355230e+01 1.263800e+01 1.453800e+01 1.060000e+01 1.000000e-01 1.000000e-01 6.000000e-01 6.000000e-01 6.082763e-01 6.082763e-01
1.559680e+01 1.453800e+01 1.673800e+01 7.220000e+00 4.000000e-02 4.000000e-02 4.400000e-01 4.400000e-01 4.418144e-01 4.418144e-01
1.803480e+01 1.673800e+01 1.943800e+01 5.150000e+00 3.000000e-02 3.000000e-02 3.100000e-01 3.100000e-01 3.114482e-01 3.114482e-01
2.088170e+01 1.943800e+01 2.243800e+01 3.600000e+00 3.000000e-02 3.000000e-02 2.200000e-01 2.200000e-01 2.220360e-01 2.220360e-01
