#   H  BESS-TeV(2002/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.170300e+00 1.152996e+00 1.188996e+00 2.220000e+02 6.000000e+00 6.000000e+00 1.700000e+01 1.700000e+01 1.802776e+01 1.802776e+01
1.209184e+00 1.188996e+00 1.230996e+00 2.550000e+02 5.000000e+00 5.000000e+00 1.700000e+01 1.700000e+01 1.772005e+01 1.772005e+01
1.254549e+00 1.230996e+00 1.279996e+00 2.810000e+02 5.000000e+00 5.000000e+00 1.700000e+01 1.700000e+01 1.772005e+01 1.772005e+01
1.306935e+00 1.279996e+00 1.335996e+00 3.040000e+02 5.000000e+00 5.000000e+00 1.600000e+01 1.600000e+01 1.676305e+01 1.676305e+01
1.367731e+00 1.335996e+00 1.401996e+00 3.210000e+02 5.000000e+00 5.000000e+00 1.600000e+01 1.600000e+01 1.676305e+01 1.676305e+01
1.439019e+00 1.401996e+00 1.478996e+00 3.280000e+02 4.000000e+00 4.000000e+00 1.500000e+01 1.500000e+01 1.552417e+01 1.552417e+01
1.522266e+00 1.478996e+00 1.568996e+00 3.510000e+02 4.000000e+00 4.000000e+00 1.400000e+01 1.400000e+01 1.456022e+01 1.456022e+01
1.619477e+00 1.568996e+00 1.673996e+00 3.520000e+02 4.000000e+00 4.000000e+00 1.300000e+01 1.300000e+01 1.360147e+01 1.360147e+01
1.732658e+00 1.673996e+00 1.795996e+00 3.460000e+02 4.000000e+00 4.000000e+00 1.200000e+01 1.200000e+01 1.264911e+01 1.264911e+01
1.864279e+00 1.795996e+00 1.937996e+00 3.370000e+02 3.000000e+00 3.000000e+00 1.100000e+01 1.100000e+01 1.140175e+01 1.140175e+01
2.019666e+00 1.937996e+00 2.107996e+00 3.280000e+02 3.000000e+00 3.000000e+00 1.100000e+01 1.100000e+01 1.140175e+01 1.140175e+01
2.199426e+00 2.107996e+00 2.297996e+00 3.050000e+02 3.000000e+00 3.000000e+00 1.000000e+01 1.000000e+01 1.044031e+01 1.044031e+01
2.403876e+00 2.297996e+00 2.517996e+00 2.870000e+02 3.000000e+00 3.000000e+00 9.000000e+00 9.000000e+00 9.486833e+00 9.486833e+00
