#   H  CREAM-I(2004/12-2005/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.162280e+03 2.500000e+03 4.000000e+03 3.720000e-06 1.000000e-07 1.000000e-07 0.000000e+00 0.000000e+00 1.000000e-07 1.000000e-07
5.019960e+03 4.000000e+03 6.300000e+03 1.100000e-06 4.000000e-08 4.000000e-08 0.000000e+00 0.000000e+00 4.000000e-08 4.000000e-08
7.937250e+03 6.300000e+03 1.000000e+04 3.190000e-07 1.900000e-08 1.900000e-08 0.000000e+00 0.000000e+00 1.900000e-08 1.900000e-08
1.264910e+04 1.000000e+04 1.600000e+04 9.470000e-08 8.000000e-09 8.000000e-09 0.000000e+00 0.000000e+00 8.000000e-09 8.000000e-09
2.000000e+04 1.600000e+04 2.500000e+04 2.800000e-08 3.500000e-09 3.500000e-09 0.000000e+00 0.000000e+00 3.500000e-09 3.500000e-09
3.162280e+04 2.500000e+04 4.000000e+04 8.100000e-09 1.500000e-09 1.500000e-09 0.000000e+00 0.000000e+00 1.500000e-09 1.500000e-09
5.019960e+04 4.000000e+04 6.300000e+04 2.200000e-09 6.000000e-10 6.000000e-10 0.000000e+00 0.000000e+00 6.000000e-10 6.000000e-10
7.937250e+04 6.300000e+04 1.000000e+05 6.100000e-10 2.200000e-10 2.600000e-10 0.000000e+00 0.000000e+00 2.200000e-10 2.600000e-10
1.264910e+05 1.000000e+05 1.600000e+05 1.800000e-10 9.000000e-11 1.200000e-10 0.000000e+00 0.000000e+00 9.000000e-11 1.200000e-10
2.000000e+05 1.600000e+05 2.500000e+05 4.200000e-11 3.400000e-11 5.400000e-11 0.000000e+00 0.000000e+00 3.400000e-11 5.400000e-11
