#   H  PAMELA(2006/11-2006/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.026196e+00 1.019996e+00 1.032996e+00 7.210000e+02 3.200000e+01 3.200000e+01 1.000000e+02 6.100000e+01 1.049952e+02 6.888396e+01
1.035396e+00 1.032996e+00 1.037996e+00 7.590000e+02 3.600000e+01 3.600000e+01 9.600000e+01 6.300000e+01 1.025280e+02 7.256032e+01
1.042796e+00 1.037996e+00 1.047996e+00 8.180000e+02 3.000000e+01 3.000000e+01 9.300000e+01 6.700000e+01 9.771898e+01 7.340981e+01
1.052796e+00 1.047996e+00 1.057996e+00 8.930000e+02 3.400000e+01 3.400000e+01 8.900000e+01 7.200000e+01 9.527329e+01 7.962412e+01
1.062896e+00 1.057996e+00 1.067996e+00 9.280000e+02 3.000000e+01 3.000000e+01 8.600000e+01 7.400000e+01 9.108238e+01 7.984986e+01
1.077596e+00 1.067996e+00 1.087996e+00 9.600000e+02 2.800000e+01 2.800000e+01 8.400000e+01 7.600000e+01 8.854377e+01 8.099383e+01
1.092896e+00 1.087996e+00 1.097996e+00 1.030000e+03 2.800000e+01 2.800000e+01 8.300000e+01 8.100000e+01 8.759566e+01 8.570298e+01
1.102896e+00 1.097996e+00 1.107996e+00 1.085000e+03 2.700000e+01 2.700000e+01 8.100000e+01 8.400000e+01 8.538150e+01 8.823265e+01
1.117696e+00 1.107996e+00 1.127996e+00 1.123000e+03 2.500000e+01 2.500000e+01 7.900000e+01 8.600000e+01 8.286133e+01 8.956004e+01
1.137696e+00 1.127996e+00 1.147996e+00 1.164000e+03 2.400000e+01 2.400000e+01 7.800000e+01 8.800000e+01 8.160882e+01 9.121403e+01
1.152896e+00 1.147996e+00 1.157996e+00 1.194000e+03 2.200000e+01 2.200000e+01 7.600000e+01 9.000000e+01 7.912016e+01 9.264988e+01
1.167696e+00 1.157996e+00 1.177996e+00 1.222000e+03 2.200000e+01 2.200000e+01 7.500000e+01 9.100000e+01 7.816009e+01 9.362158e+01
1.187796e+00 1.177996e+00 1.197996e+00 1.278000e+03 2.100000e+01 2.100000e+01 7.400000e+01 9.400000e+01 7.692204e+01 9.631718e+01
1.212496e+00 1.197996e+00 1.227996e+00 1.359000e+03 2.000000e+01 2.000000e+01 7.300000e+01 9.800000e+01 7.569016e+01 1.000200e+02
1.237796e+00 1.227996e+00 1.247996e+00 1.371000e+03 2.000000e+01 2.000000e+01 7.200000e+01 9.800000e+01 7.472617e+01 1.000200e+02
1.262596e+00 1.247996e+00 1.277996e+00 1.380000e+03 1.900000e+01 1.900000e+01 7.100000e+01 9.800000e+01 7.349830e+01 9.982485e+01
1.287796e+00 1.277996e+00 1.297996e+00 1.381000e+03 1.800000e+01 1.800000e+01 7.000000e+01 9.700000e+01 7.227724e+01 9.865597e+01
1.312696e+00 1.297996e+00 1.327996e+00 1.398000e+03 1.700000e+01 1.700000e+01 6.900000e+01 9.700000e+01 7.106335e+01 9.847842e+01
1.347496e+00 1.327996e+00 1.367996e+00 1.410000e+03 1.600000e+01 1.600000e+01 6.800000e+01 9.600000e+01 6.985700e+01 9.732420e+01
1.382696e+00 1.367996e+00 1.397996e+00 1.396000e+03 1.600000e+01 1.600000e+01 6.800000e+01 9.400000e+01 6.985700e+01 9.535198e+01
1.417496e+00 1.397996e+00 1.437996e+00 1.391000e+03 1.500000e+01 1.500000e+01 6.700000e+01 9.300000e+01 6.865858e+01 9.420191e+01
