#   H  PAMELA(2009/12-2010/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.026196e+00 1.019996e+00 1.032996e+00 1.730000e+03 1.430000e+02 1.430000e+02 1.630000e+02 2.660000e+02 2.168363e+02 3.020017e+02
1.035396e+00 1.032996e+00 1.037996e+00 1.722000e+03 1.560000e+02 1.560000e+02 1.600000e+02 2.630000e+02 2.234636e+02 3.057859e+02
1.042796e+00 1.037996e+00 1.047996e+00 2.016000e+03 1.340000e+02 1.340000e+02 1.580000e+02 3.070000e+02 2.071714e+02 3.349701e+02
1.052796e+00 1.047996e+00 1.057996e+00 2.210000e+03 1.510000e+02 1.510000e+02 1.570000e+02 3.360000e+02 2.178302e+02 3.683707e+02
1.062896e+00 1.057996e+00 1.067996e+00 2.162000e+03 1.290000e+02 1.290000e+02 1.550000e+02 3.270000e+02 2.016581e+02 3.515252e+02
1.077596e+00 1.067996e+00 1.087996e+00 2.256000e+03 1.230000e+02 1.230000e+02 1.540000e+02 3.410000e+02 1.970913e+02 3.625052e+02
1.092896e+00 1.087996e+00 1.097996e+00 2.447000e+03 1.220000e+02 1.220000e+02 1.530000e+02 3.680000e+02 1.956860e+02 3.876958e+02
1.102896e+00 1.097996e+00 1.107996e+00 2.359000e+03 1.120000e+02 1.120000e+02 1.520000e+02 3.540000e+02 1.888068e+02 3.712950e+02
1.117696e+00 1.107996e+00 1.127996e+00 2.277000e+03 1.020000e+02 1.020000e+02 1.510000e+02 3.410000e+02 1.822224e+02 3.559284e+02
1.137696e+00 1.127996e+00 1.147996e+00 2.423000e+03 9.700000e+01 9.700000e+01 1.500000e+02 3.620000e+02 1.786309e+02 3.747706e+02
1.152896e+00 1.147996e+00 1.157996e+00 2.592000e+03 9.300000e+01 9.300000e+01 1.490000e+02 3.860000e+02 1.756417e+02 3.970453e+02
1.167696e+00 1.157996e+00 1.177996e+00 2.647000e+03 9.100000e+01 9.100000e+01 1.490000e+02 3.930000e+02 1.745910e+02 4.033981e+02
1.187796e+00 1.177996e+00 1.197996e+00 2.682000e+03 8.800000e+01 8.800000e+01 1.480000e+02 3.970000e+02 1.721859e+02 4.066362e+02
1.212496e+00 1.197996e+00 1.227996e+00 2.684000e+03 8.200000e+01 8.200000e+01 1.480000e+02 3.960000e+02 1.691981e+02 4.044008e+02
1.237796e+00 1.227996e+00 1.247996e+00 2.603000e+03 7.700000e+01 7.700000e+01 1.470000e+02 3.830000e+02 1.659458e+02 3.906635e+02
1.262596e+00 1.247996e+00 1.277996e+00 2.656000e+03 7.500000e+01 7.500000e+01 1.470000e+02 3.900000e+02 1.650273e+02 3.971461e+02
1.287796e+00 1.277996e+00 1.297996e+00 2.633000e+03 7.200000e+01 7.200000e+01 1.460000e+02 3.850000e+02 1.627882e+02 3.916746e+02
1.312696e+00 1.297996e+00 1.327996e+00 2.504000e+03 6.700000e+01 6.700000e+01 1.460000e+02 3.660000e+02 1.606393e+02 3.720820e+02
1.347496e+00 1.327996e+00 1.367996e+00 2.415000e+03 6.100000e+01 6.100000e+01 1.460000e+02 3.510000e+02 1.582308e+02 3.562611e+02
1.382696e+00 1.367996e+00 1.397996e+00 2.495000e+03 6.000000e+01 6.000000e+01 1.450000e+02 3.620000e+02 1.569235e+02 3.669387e+02
1.417496e+00 1.397996e+00 1.437996e+00 2.383000e+03 5.600000e+01 5.600000e+01 1.450000e+02 3.450000e+02 1.554381e+02 3.495154e+02
1.457596e+00 1.437996e+00 1.477996e+00 2.200000e+03 5.200000e+01 5.200000e+01 1.440000e+02 3.180000e+02 1.531013e+02 3.222235e+02
1.497596e+00 1.477996e+00 1.517996e+00 2.213000e+03 5.000000e+01 5.000000e+01 1.440000e+02 3.190000e+02 1.524336e+02 3.228947e+02
1.537596e+00 1.517996e+00 1.557996e+00 2.107000e+03 3.200000e+01 3.200000e+01 1.440000e+02 3.030000e+02 1.475127e+02 3.046851e+02
1.582496e+00 1.557996e+00 1.607996e+00 1.966000e+03 3.000000e+01 3.000000e+01 1.430000e+02 2.820000e+02 1.461130e+02 2.835913e+02
1.632496e+00 1.607996e+00 1.657996e+00 1.870000e+03 2.800000e+01 2.800000e+01 1.430000e+02 2.680000e+02 1.457155e+02 2.694587e+02
1.682496e+00 1.657996e+00 1.707996e+00 1.769000e+03 2.600000e+01 2.600000e+01 1.430000e+02 2.520000e+02 1.453444e+02 2.533377e+02
1.737396e+00 1.707996e+00 1.767996e+00 1.710000e+03 2.500000e+01 2.500000e+01 1.420000e+02 2.430000e+02 1.441839e+02 2.442826e+02
1.797396e+00 1.767996e+00 1.827996e+00 1.550000e+03 2.200000e+01 2.200000e+01 1.420000e+02 2.200000e+02 1.436941e+02 2.210973e+02
1.862296e+00 1.827996e+00 1.897996e+00 1.442000e+03 2.100000e+01 2.100000e+01 1.420000e+02 2.040000e+02 1.435444e+02 2.050780e+02
1.927496e+00 1.897996e+00 1.957996e+00 1.382000e+03 2.000000e+01 2.000000e+01 1.410000e+02 1.950000e+02 1.424114e+02 1.960230e+02
1.992396e+00 1.957996e+00 2.027996e+00 1.294000e+03 1.800000e+01 1.800000e+01 1.410000e+02 1.830000e+02 1.421443e+02 1.838831e+02
2.067196e+00 2.027996e+00 2.107996e+00 1.178000e+03 1.700000e+01 1.700000e+01 1.410000e+02 1.660000e+02 1.420211e+02 1.668682e+02
2.147296e+00 2.107996e+00 2.187996e+00 1.105000e+03 1.600000e+01 1.600000e+01 1.550000e+02 1.550000e+02 1.558236e+02 1.558236e+02
2.232196e+00 2.187996e+00 2.277996e+00 1.030000e+03 1.400000e+01 1.400000e+01 1.440000e+02 1.440000e+02 1.446790e+02 1.446790e+02
2.317396e+00 2.277996e+00 2.357996e+00 9.310000e+02 1.300000e+01 1.300000e+01 1.300000e+02 1.300000e+02 1.306484e+02 1.306484e+02
2.407096e+00 2.357996e+00 2.457996e+00 8.620000e+02 1.200000e+01 1.200000e+01 1.200000e+02 1.200000e+02 1.205985e+02 1.205985e+02
2.507196e+00 2.457996e+00 2.557996e+00 7.890000e+02 1.100000e+01 1.100000e+01 1.100000e+02 1.100000e+02 1.105486e+02 1.105486e+02
2.607196e+00 2.557996e+00 2.657996e+00 7.200000e+02 1.000000e+01 1.000000e+01 1.000000e+02 1.000000e+02 1.004988e+02 1.004988e+02
2.712096e+00 2.657996e+00 2.767996e+00 6.750000e+02 1.000000e+01 1.000000e+01 9.400000e+01 9.400000e+01 9.453042e+01 9.453042e+01
2.826996e+00 2.767996e+00 2.887996e+00 6.050000e+02 9.000000e+00 9.000000e+00 8.400000e+01 8.400000e+01 8.448077e+01 8.448077e+01
2.947096e+00 2.887996e+00 3.007996e+00 5.470000e+02 8.000000e+00 8.000000e+00 7.600000e+01 7.600000e+01 7.641989e+01 7.641989e+01
3.071996e+00 3.007996e+00 3.137996e+00 4.990000e+02 8.000000e+00 8.000000e+00 6.900000e+01 6.900000e+01 6.946222e+01 6.946222e+01
3.201996e+00 3.137996e+00 3.267996e+00 4.500000e+02 7.000000e+00 7.000000e+00 6.200000e+01 6.200000e+01 6.239391e+01 6.239391e+01
3.341796e+00 3.267996e+00 3.417996e+00 4.110000e+02 6.000000e+00 6.000000e+00 5.700000e+01 5.700000e+01 5.731492e+01 5.731492e+01
3.486996e+00 3.417996e+00 3.557996e+00 3.900000e+02 6.000000e+00 6.000000e+00 5.400000e+01 5.400000e+01 5.433231e+01 5.433231e+01
3.636796e+00 3.557996e+00 3.717996e+00 3.340000e+02 5.000000e+00 5.000000e+00 4.600000e+01 4.600000e+01 4.627094e+01 4.627094e+01
3.796796e+00 3.717996e+00 3.877996e+00 3.030000e+02 5.000000e+00 5.000000e+00 4.200000e+01 4.200000e+01 4.229657e+01 4.229657e+01
3.966596e+00 3.877996e+00 4.057996e+00 2.760000e+02 5.000000e+00 5.000000e+00 3.800000e+01 3.800000e+01 3.832754e+01 3.832754e+01
4.146696e+00 4.057996e+00 4.237996e+00 2.510000e+02 4.000000e+00 4.000000e+00 3.400000e+01 3.400000e+01 3.423449e+01 3.423449e+01
4.331596e+00 4.237996e+00 4.427996e+00 2.230000e+02 4.000000e+00 4.000000e+00 3.100000e+01 3.100000e+01 3.125700e+01 3.125700e+01
4.526596e+00 4.427996e+00 4.627996e+00 2.040000e+02 4.000000e+00 4.000000e+00 2.800000e+01 2.800000e+01 2.828427e+01 2.828427e+01
4.836996e+00 4.627996e+00 5.057996e+00 1.720000e+02 2.000000e+00 2.000000e+00 2.300000e+01 2.300000e+01 2.308679e+01 2.308679e+01
5.286596e+00 5.057996e+00 5.527996e+00 1.410000e+02 2.000000e+00 2.000000e+00 1.900000e+01 1.900000e+01 1.910497e+01 1.910497e+01
5.780996e+00 5.527996e+00 6.047996e+00 1.130000e+02 2.000000e+00 2.000000e+00 1.500000e+01 1.500000e+01 1.513275e+01 1.513275e+01
6.325396e+00 6.047996e+00 6.617996e+00 9.100000e+01 1.000000e+00 1.000000e+00 1.200000e+01 1.200000e+01 1.204159e+01 1.204159e+01
6.919896e+00 6.617996e+00 7.237996e+00 6.900000e+01 1.000000e+00 1.000000e+00 9.000000e+00 9.000000e+00 9.055385e+00 9.055385e+00
7.573996e+00 7.237996e+00 7.927996e+00 5.669000e+01 9.533000e-01 9.533000e-01 7.693000e+00 7.693000e+00 7.751840e+00 7.751840e+00
8.293396e+00 7.927996e+00 8.677996e+00 4.491000e+01 7.967000e-01 7.967000e-01 6.088000e+00 6.088000e+00 6.139908e+00 6.139908e+00
9.082395e+00 8.677996e+00 9.507996e+00 3.470000e+01 6.572000e-01 6.572000e-01 4.700000e+00 4.700000e+00 4.745726e+00 4.745726e+00
9.951496e+00 9.507996e+00 1.041800e+01 2.744000e+01 5.473000e-01 5.473000e-01 3.713000e+00 3.713000e+00 3.753120e+00 3.753120e+00
1.090540e+01 1.041800e+01 1.141800e+01 2.177000e+01 4.564000e-01 4.564000e-01 2.945000e+00 2.945000e+00 2.980155e+00 2.980155e+00
1.194900e+01 1.141800e+01 1.250800e+01 1.686000e+01 3.755000e-01 3.755000e-01 2.281000e+00 2.281000e+00 2.311701e+00 2.311701e+00
1.309300e+01 1.250800e+01 1.370800e+01 1.303000e+01 3.083000e-01 3.083000e-01 1.763000e+00 1.763000e+00 1.789754e+00 1.789754e+00
1.435100e+01 1.370800e+01 1.502800e+01 1.022000e+01 2.554000e-01 2.554000e-01 1.384000e+00 1.384000e+00 1.407368e+00 1.407368e+00
1.573500e+01 1.502800e+01 1.647800e+01 8.339000e+00 2.150000e-01 2.150000e-01 1.129000e+00 1.129000e+00 1.149289e+00 1.149289e+00
1.724800e+01 1.647800e+01 1.805800e+01 6.271000e+00 1.735000e-01 1.735000e-01 8.486000e-01 8.486000e-01 8.661548e-01 8.661548e-01
1.890700e+01 1.805800e+01 1.979800e+01 4.739000e+00 1.400000e-01 1.400000e-01 6.413000e-01 6.413000e-01 6.564036e-01 6.564036e-01
2.072500e+01 1.979800e+01 2.169800e+01 3.842000e+00 1.181000e-01 1.181000e-01 5.200000e-01 5.200000e-01 5.332425e-01 5.332425e-01
2.271700e+01 2.169800e+01 2.378800e+01 2.876000e+00 9.688000e-02 9.688000e-02 3.892000e-01 3.892000e-01 4.010765e-01 4.010765e-01
2.491000e+01 2.378800e+01 2.608800e+01 2.159000e+00 8.009000e-02 8.009000e-02 2.922000e-01 2.922000e-01 3.029773e-01 3.029773e-01
2.731300e+01 2.608800e+01 2.859800e+01 1.835000e+00 7.055000e-02 7.055000e-02 2.484000e-01 2.484000e-01 2.582244e-01 2.582244e-01
2.994500e+01 2.859800e+01 3.135800e+01 1.403000e+00 5.883000e-02 5.883000e-02 1.898000e-01 1.898000e-01 1.987084e-01 1.987084e-01
3.283199e+01 3.135800e+01 3.437799e+01 1.095000e+00 4.965000e-02 4.965000e-02 1.482000e-01 1.482000e-01 1.562958e-01 1.562958e-01
3.599400e+01 3.437799e+01 3.768800e+01 7.620000e-01 3.955000e-02 3.955000e-02 1.031000e-01 1.031000e-01 1.104256e-01 1.104256e-01
3.946500e+01 3.768800e+01 4.132800e+01 6.151000e-01 3.396000e-02 3.396000e-02 8.323000e-02 8.323000e-02 8.989168e-02 8.989168e-02
4.327100e+01 4.132800e+01 4.530799e+01 4.738000e-01 2.847000e-02 2.847000e-02 6.412000e-02 6.412000e-02 7.015636e-02 7.015636e-02
4.744099e+01 4.530799e+01 4.967800e+01 3.699000e-01 2.404000e-02 2.404000e-02 5.006000e-02 5.006000e-02 5.553310e-02 5.553310e-02
